title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
"Books, Baguettes and Bedbugs : Enchanting memoir of a struggling writer and an eccentric Paris bookshop",Jeremy Mercer,272,Orion Publishing Co,2006-08-03,10.18,2.32,3.85,3613,54,202,946,1448,963,153374,9780753820582,English,Biography
An Open Book - My Autobiography : My Story to Three Golf Victories,Darren Clarke,320,Hodder & Stoughton,2013-05-23,12.24,3.76,3.96,72,3,5,9,30,25,461655,9781444758016,English,Biography
The Boy on the Shed:A remarkable sporting memoir with a foreword by Alan Shearer : Sports Book Awards Autobiography of the Year,Paul Ferris,320,Hodder & Stoughton,2019-10-15,11.92,4.08,4.4,767,5,6,80,259,417,67366,9781473666740,English,Biography
Brave New World : Inside Pochettino's Spurs,Guillem Balague,384,Orion Publishing Co,2021-02-09,11.58,2.42,4.18,1072,2,26,184,426,434,388553,9781474615457,English,Biography
X-Gender Vol. 1,Asuka Miyazaki,160,"Seven Seas Entertainment, LLC",2022-06-14,13.94,2.06,3.76,245,9,16,66,87,67,35077,9781638583998,English,Biography
"The Book of Joan : Tales of Mirth, Mischief, and Manipulation",Melissa Rivers,320,Random House USA Inc,2016-04-05,16.41,2.59,3.69,3625,106,314,1091,1196,918,472342,9781101903841,English,Biography
"Stay Alive, My Son","Pin Yathay, John Man",264,Simon & Schuster,1988-10-15,17.15,1.55,4.32,1034,11,16,112,383,512,407176,9780671663940,French,Biography
Gustav Mahler,"Bruno Walter, Ernst Krenek, James Galston, Mr Erik Ryding",256,Dover Publications Inc.,2014-01-15,15.80,0.70,3.97,64,0,1,21,21,21,394626,9780486492179,English,Biography
From Ration Book to ebook : The Life and Times of the Post-War Baby Boomers,Paul Feeney,224,The History Press Ltd,2012-12-01,14.62,11.38,3.65,23,1,2,8,5,7,637964,9780752463452,English,Biography
Freedom : My Book of Firsts,Jaycee Dugard,272,SIMON & SCHUSTER,2017-07-11,16.47,1.53,3.49,3955,138,625,1267,997,928,200069,9781501147630,English,Biography
The Little Book of Marilyn : Inspiration from the Goddess of Glam,Michelle Morgan,224,"Running Press,U.S.",2019-07-25,14.88,1.12,4.03,30,1,2,4,11,12,624399,9780762466542,English,Biography
"My Father's Life - Second Edition: Volume 27 : Dad, I Want to Know Everything About You",Editors of Chartwell Books,204,Book Sales Inc,2022-04-26,11.11,2.89,1,2,2,0,0,0,0,1058571,9780785840220,English,Biography
"3,001 Questions All About Me: Volume 1",Editors of Chartwell Books,204,Book Sales Inc,2020-12-15,10.55,0.45,4,2,0,0,1,0,1,13382,9780785839071,English,Biography
Little Book of Balenciaga : The Story of the Iconic Fashion House,Emmanuelle Dirix,160,Welbeck Publishing Group,2022-04-19,16.98,0.52,4.07,14,0,0,3,7,4,28785,9781787398306,English,Biography
Book of Dreams,"Jack Kerouac, Robert Creeley",250,City Lights Books,2010-04-15,25.32,0.68,3.43,1096,53,167,353,297,226,704889,9780872863804,English,Biography
Egyptian Book of the Dead,Ea Wallis Budge,208,SIRIUS ENTERTAINMENT,2021-11-20,13.98,0.02,3.9,5156,142,355,1216,1609,1834,4387,9781398809628,English,Biography
"Ramble Book : Musings on Childhood, Friendship, Family and 80s Pop Culture",Adam Buxton,368,HarperCollins Publishers,2021-09-07,13.40,5.60,4.15,3866,8,82,632,1734,1410,156773,9780008293338,English,Biography
Nobody Will Tell You This But Me : A True (as told to me) Story: 'I loved this book more than I can say' Nigella Lawson,Bess Kalb,224,"Little, Brown Book Group",2020-04-02,15.41,3.09,4.24,17293,101,417,2463,6513,7799,139522,9780349013510,English,Biography
Dad's Maybe Book,Tim O'Brien,400,HarperCollins Publishers,2020-09-03,12.46,0.04,3.96,687,7,39,156,256,229,829339,9780008372491,English,Biography
