title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
"One Piece, Vol. 80",Eiichiro Oda,208,"Viz Media, Subs. of Shogakukan Inc",2016-11-17,9.47,0.53,4.52,2330,7,25,220,584,1494,56878,9781421590240,English,"Children, Books"
Harry Potter Magical Places and Characters Colouring Book,J. K. Rowling,80,Templar Publishing,2016-06-30,12.16,0.34,4.36,152,7,3,13,34,95,30039,9781783706006,English,"Children, Books"
The Puffin Book of Stories for Five-year-olds,"Wendy Cooling, Steve Cox",144,Penguin Random House Children's UK,1999-06-01,5.35,4.65,3.87,52,1,2,16,17,16,4586,9780140374582,English,"Children, Books"
"Magic Tree House Collection: Books 1-8 : Dinosaurs Before Dark, The Knight at Dawn, Mummies in the Morning, Pirates Past Noon, Night of the Ninjas, Afternoon on the Amazon, and more!",Mary Pope Osborne,5,Random House USA Inc,2001-10-09,21.18,10.82,4.04,1280,39,72,263,337,569,53106,9780807206126,English,"Children, Books"
Lumberjanes Vol. 4 : Out Of Time,"Shannon Watters, ND Stevenson, Grace Ellis, Gus Allen",112,Boom! Studios,2016-08-11,12.99,1.51,4.26,11824,133,260,1479,4508,5444,37767,9781608868605,English,"Children, Books"
The Christmas Story,"Jane Werner Watson, Eloise Wilkin",24,Random House USA Inc,2000-08-01,5.99,0.01,4.41,1703,21,57,192,364,1069,7133,9780307989130,English,"Children, Books"
"Naruto, Vol. 48",Masashi Kishimoto,208,"Viz Media, Subs. of Shogakukan Inc",2010-06-10,10.32,0.68,4.42,5327,29,103,635,1386,3174,67261,9781421534749,English,"Children, Books"
Kid's Keyboard Course Book #1 : E-Z Play Today,Hal Leonard Publishing Corporation,48,Hal Leonard Corporation,1990-11-01,7.84,1.16,3.94,17,1,1,3,5,7,77976,9780793503292,English,"Children, Books"
Magic Sch Bus the Giant Germ,J. Cole,76,Scholastic US,2001-06-01,5.69,0.31,4.43,4126,40,93,585,754,2654,59907,9780439204200,English,"Children, Books"
"Gallagher Girls: I'd Tell You I Love You, But Then I'd Have To Kill You : Book 1",Ally Carter,320,Hachette Children's Group,2015-02-05,8.65,1.35,3.83,185212,7333,15044,43392,54621,64822,19566,9781408309513,English,"Children, Books"
Rainbow Magic: Gemma the Gymnastic Fairy : The Sporty Fairies Book 7,"Daisy Meadows, Georgie Ripper",80,Hachette Children's Group,2008-04-03,5.43,2.07,4.13,663,24,39,116,134,350,27349,9781846168949,English,"Children, Books"
"Dragon Ball Z, Vol. 13",Akira Toriyama,200,"Viz Media, Subs. of Shogakukan Inc",2008-08-04,9.64,1.36,4.34,1898,8,38,278,560,1014,77755,9781569319864,English,"Children, Books"
Blake & Mortimer Vol. 27 : The Call of the Moloch - The Sequel to The Septimus Wave,"Jean Dufaux, Christian Cailleaux, Etienne Shreder",64,Cinebook Ltd,2021-04-19,11.57,0.93,3.4,144,4,14,59,55,12,28330,9781849185974,English,"Children, Books"
"Splatoon, Vol. 10",Sankichi Hinodeya,160,"Viz Media, Subs. of Shogakukan Inc",2020-10-01,8.87,1.13,4.68,101,0,1,3,23,74,99101,9781974717323,English,"Children, Books"
I Am Number Four : (Lorien Legacies Book 1),Pittacus Lore,400,Penguin Books Ltd,2011-02-03,12.49,0.41,3.94,333364,8383,21926,71834,111688,119533,17631,9780241953570,English,"Children, Books"
Rise of the Earth Dragon : A Branches Book (Dragon Masters #1): Volume,Tracey West,96,Scholastic US,2014-08-26,6.99,0.01,4.28,4928,70,136,692,1496,2534,15649,9780545646239,English,"Children, Books"
"86 -- Eighty-Six, Vol. 1 (manga)","Shirabii, Asato Asato, Motoki Yoshihara",192,"Little, Brown & Company",2020-12-15,12.42,0.08,3.89,128,3,10,33,34,48,86113,9781975319175,English,"Children, Books"
The Reckoning : Book 3 of the Darkest Powers Series,Kelley Armstrong,400,"Little, Brown Book Group",2010-04-09,10.12,2.38,4.18,114821,1981,4485,18922,35036,54397,17961,9781841497129,English,"Children, Books"
The Big Activity Book for Anxious People,"Jordan Reid, Erin Williams",160,Penguin Putnam Inc,2019-05-07,16.37,0.13,3.79,118,4,13,25,38,38,89219,9780525538066,English,"Children, Books"
Green Lantern Vol. 1: Sinestro (The New 52),"Geoff Johns, Doug Mahnke",160,DC Comics,2013-01-08,14.37,1.13,4.03,4816,42,185,1055,1839,1695,66617,9781401234553,English,"Children, Books"
The Memory Book,Lara Avery,368,Hachette Children's Group,2017-01-26,10.08,0.42,4.05,10238,143,419,1962,4020,3694,113563,9781784299248,English,"Children, Books"
"The Taken (Foxcraft, Book 1) : Volume 1",Inbali Iserles,272,Scholastic US,2016-04-26,9.70,0.30,4.09,3034,74,177,542,838,1403,84144,9780545690829,English,"Children, Books"
Let's Get Cracking!: A Branches Book (Kung POW Chicken #1) : Volume 1,Cyndi Marko,80,Scholastic US,2014-01-07,6.73,0.27,3.95,871,16,50,218,266,321,15508,9780545610612,English,"Children, Books"
"Project X Origins: Gold Book Band, Oxford Level 9: Communication: The Thing in the Cupboard",Chris Powling,24,Oxford University Press,2014-01-09,6.82,3.68,4.33,3,0,0,1,0,2,43407,9780198302025,English,"Children, Books"
Train Your Angry Dragon : Teach Your Dragon To Be Patient. A Cute Children Story To Teach Kids About Emotions and Anger Management.,Steve Herman,46,DG Books Publishing,2018-01-23,14.69,8.21,4.37,185,4,5,20,46,110,23112,9781948040075,English,"Children, Books"
Ogilvy on Advertising,David Ogilvy,224,Random House USA Inc,1987-03-01,30.79,0.71,4.14,10214,185,364,1603,3731,4331,55811,9780394729039,English,"Children, Books"
When I Was Young in the Mountains,"Cynthia Rylant, Diane Goode",32,Penguin Random House Australia,1993-01-01,8.56,0.44,4.24,7143,76,210,1142,2175,3540,64291,9780140548754,English,"Children, Books"
Just Grace: Book 1,Charise Mericle Harper,144,Houghton Mifflin,2008-04-01,7.91,1.09,3.74,3122,130,291,852,826,1023,55166,9780547014401,English,"Children, Books"
