title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
Adobe Premiere Pro CS6 Classroom in a Book,Adobe Creative Team,480,Pearson Education (US),2012-07-09,52.95,15.55,3.85,39,2,1,9,16,11,167399,9780321822475,English,Computing
Adobe InDesign CC Classroom in a Book (2019 Release),"Kelly Anton, Tina DeJarld",448,Pearson Education (US),2019-01-09,52.88,2.12,4.09,64,1,4,12,18,29,63412,9780135262153,English,Computing
The Repair Shop : LIFE IN THE BARN: The Inside Stories from the Experts: THE BRAND NEW BOOK FOR 2022,"Elizabeth Wilhide, Jayne Dowle, Jay Blades",192,Octopus Publishing Group,2022-11-01,19.81,7.19,4.3,10,0,0,2,3,5,8931,9781914239649,English,Computing
The Crafters' Club Series: Lost : Crafters' Club Book 3,Louise Guy,118,Go Direct Publishing,2015-08-15,8.70,2.10,4.35,23,0,1,5,2,15,612114,9780994341440,English,Computing
"The XBRL Book : Simple, precise, technical",Ghislain Fourny,350,Independently Published,2021-01-01,27.74,0.97,3.75,4,0,0,2,1,1,1989459,9798584926281,English,Computing
A Framework for Scientific Discovery through Video Games,Seth Cooper,134,Morgan & Claypool Publishers,2014-07-30,78.01,7.49,4,1,0,0,0,1,0,9781627055437,9781627055437,English,Computing
Trust Extension as a Mechanism for Secure Code Execution on Commodity Computers,Bryan Jeffrey Parno,207,Morgan & Claypool Publishers,2015-03-30,75.58,6.82,5,1,0,0,0,0,1,9781627054775,9781627054775,English,Computing
Coding for Kids Python : A Comprehensive Guide that Can Teach Children to Code with Simple Methods,Goldink Books,108,GoldInk Publishers LLC,2021-10-16,13.64,3.66,4,1,0,0,0,1,0,3821877,9781956913200,English,Computing
Making Databases Work : The Pragmatic Wisdom of Michael Stonebraker,Michael L. Brodie,730,Morgan & Claypool Publishers,2018-12-30,109.31,60.09,3.86,7,0,0,3,2,2,3795866,9781947487161,English,Computing
Making Databases Work : The Pragmatic Wisdom of Michael Stonebraker,Michael L. Brodie,730,Morgan & Claypool Publishers,2018-12-30,134.13,51.87,3.86,7,0,0,3,2,2,3819257,9781947487192,English,Computing
Intelligent Engineering Systems Through Artificial Neural Networks v. 3,Cihan H. Dagli,934,"American Society of Mechanical Engineers,U.S.",1993-10-01,199.92,20.58,3,1,0,0,1,0,0,9780791800386,9780791800386,English,Computing
Communities of Computing : Computer Science and Society in the ACM,Thomas J. Misa,422,Morgan & Claypool Publishers,2016-11-10,80.80,30.70,3.33,3,0,0,2,1,0,9781970001846,9781970001846,English,Computing
Text Data Management and Analysis : A Practical Introduction to Information Retrieval and Text Mining,"Chengxiang Zhai, Sean Massung",530,Morgan & Claypool Publishers,2016-06-30,133.49,43.41,3.71,7,0,1,1,4,1,3802251,9781970001198,English,Computing
Verified Functional Programming in Agda,Aaron Stump,284,Morgan & Claypool Publishers,2016-02-01,123.28,15.82,4,4,0,0,1,2,1,9781970001273,9781970001273,English,Computing
Cruiser Dreams (Kerrion Empire Book 2),"Janet Morris, Christopher Morris",404,Perseid Press,2018-12-01,35.23,0.27,3.96,141,0,6,40,48,47,9781948602150,9781948602150,English,Computing
Handbook on Project Management and Scheduling Vol.1,"Christoph Schwindt, Jürgen Zimmermann",663,Springer International Publishing AG,2016-09-24,107.68,12.31,4,1,0,0,0,1,0,9783319342955,9783319342955,English,Computing
Introduction To Google Classroom,Annie Brock,64,Ulysses Press,2020-10-29,13.85,0.65,2,2,0,2,0,0,0,3625301,9781646041657,English,Computing
Smarter Than Their Machines : Oral Histories of Pioneers in Interactive Computing,John Cullinane,216,Morgan & Claypool Publishers,2014-11-30,98.46,14.84,3.67,3,0,0,1,2,0,9781627055536,9781627055536,English,Computing
A Framework for Scientific Discovery through Video Games,Seth Cooper,133,Morgan & Claypool Publishers,2014-12-01,57.55,9.05,4,1,0,0,0,1,0,9781627055048,9781627055048,English,Computing
