title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
Henderson's Boys: Secret Army : Book 3,Robert Muchamore,384,Hachette Children's Group,2010-03-03,9.53,0.47,4.2,2743,23,69,465,964,1222,6580,9780340956502,English,"Crafts, Hobbies"
The Edge of the Water : Book 2 of The Edge of Nowhere Series,Elizabeth George,400,Hodder & Stoughton,2014-09-25,11.26,1.24,3.57,1802,53,186,605,597,361,277649,9781444720037,English,"Crafts, Hobbies"
"The Cowardly Lion of Oz : The Wonderful Oz Books, #17",Ruth Plumly Thompson,268,Random House USA Inc,1985-06-01,18.50,1.40,3.75,291,7,22,94,83,85,1244072,9780345315861,English,"Crafts, Hobbies"
Codename Quicksilver: In the Zone : Book 1,"Allan Frewin Jones, Dan Panosian",208,Hachette Children's Group,2014-09-01,7.70,0.80,4.41,17,0,0,3,4,10,592893,9781444005455,English,"Crafts, Hobbies"
"Pretty Little Liars 4-Book Paperback Box Set : Pretty Little Liars, Flawless Perfect, Unbelievable",Sara Shepard,1360,HarperTeen,2022-07-05,48.85,1.65,4,1,0,0,0,1,0,697427,9780063144644,English,"Crafts, Hobbies"
"Get Out of Town (Riverdale, Book 2)",Micol Ostow,288,Scholastic,2019-06-06,9.93,0.07,3.5,1628,81,216,511,445,375,870855,9781407197685,English,"Crafts, Hobbies"
The Colour of Darkness,Ruth Hatfield,256,Hot Key Books,2016-09-01,7.73,0.07,3.76,38,2,3,10,10,13,928984,9781471403002,English,"Crafts, Hobbies"
The Haven: Deadfall : Book 3,Simon Lelic,320,Hachette Children's Group,2020-02-06,9.27,0.73,4.53,38,0,1,2,11,24,494373,9781444947649,English,"Crafts, Hobbies"
S.T.E.A.L.T.H.: Ice Breaker : Book 2,Jason Rohan,256,Nosy Crow Ltd,2022-10-06,9.88,0.12,4.5,2,0,0,0,1,1,441499,9781839943409,English,"Crafts, Hobbies"
Beyond the Edge of the Map : The Mapmaker Chronicles Book 4 - the bestselling adventure series for fans of Emily Rodda and Rick Riordan,A. L Tait,272,HACHETTE AUSTRALIA,2022-11-15,8.36,6.14,4.41,145,0,3,15,47,80,314472,9780734417749,English,"Crafts, Hobbies"
Eight Rivers of Shadow : Thirteen Days of Midnight Trilogy Book 2,Leo Hunt,384,Hachette Children's Group,2016-07-14,11.01,0.49,3.96,262,5,8,58,113,78,407178,9781408337486,English,"Crafts, Hobbies"
MetaWars: The Dead are Rising : Book 2,Jeff Norton,368,Hachette Children's Group,2014-05-01,10.08,0.22,4.23,70,1,0,9,32,28,459065,9781408314609,English,"Crafts, Hobbies"
The Haven : Book 1,Simon Lelic,304,Hachette Children's Group,2019-02-07,8.48,1.39,3.77,231,1,18,65,96,51,396257,9781444947601,English,"Crafts, Hobbies"
River of Ink: Mortal : Book 3,"Helen Dennis, Bonnie Kate Wolf",384,Hachette Children's Group,2017-05-09,7.92,1.08,4.11,44,0,2,10,13,19,393759,9781444920482,English,"Crafts, Hobbies"
Thirteen Days of Midnight : Book 1,Leo Hunt,384,Hachette Children's Group,2015-07-02,9.05,2.45,3.71,1199,31,80,372,444,272,421633,9781408337462,English,"Crafts, Hobbies"
Roman Quests: Return to Rome : Book 4,Caroline Lawrence,208,Hachette Children's Group,2018-01-11,7.98,1.02,4.41,44,0,0,7,12,25,391732,9781510100336,English,"Crafts, Hobbies"
Team Hero: The Secret Jungle : Series 4 Book 1,Adam Blade,128,Hachette Children's Group,2020-09-08,6.02,1.56,4.4,10,0,0,2,2,6,663401,9781408355565,English,"Crafts, Hobbies"
Storm Weaver : Book 2 in the Ayla Trilogy,Matt Griffin,256,O'Brien Press Ltd,2017-10-04,10.15,4.85,4.07,15,0,1,2,7,5,753544,9781847177834,English,"Crafts, Hobbies"
The Stig Drives Again : A Top Gear book,"Jon Claydon, Tim Lawler",304,Bonnier Books Ltd,2018-08-23,7.42,0.08,4.38,8,0,0,0,5,3,694601,9781848126435,English,"Crafts, Hobbies"
"Murder of Crows (Lethal Lit, Book 1)",K Ancrum,304,Scholastic US,2022-02-03,10.36,0.14,3.54,229,6,25,77,81,40,1444673,9781338742923,English,"Crafts, Hobbies"
The Stig Plays a Dangerous Game : A Top Gear book,"Jon Claydon, Tim Lawler",288,Bonnier Books Ltd,2018-03-08,7.26,0.24,3.65,17,1,1,5,6,4,731814,9781848126459,English,"Crafts, Hobbies"
The Book of Shadows,Ruth Hatfield,272,Hot Key Books,2016-11-17,7.35,0.15,3.89,19,0,1,5,8,5,1723532,9781471403026,English,"Crafts, Hobbies"
The Last Immortal : Book 1,Alex Marlowe,304,Hachette Children's Group,2016-02-11,8.45,0.55,3.56,85,5,10,22,28,20,711329,9780349131801,English,"Crafts, Hobbies"
MetaWars: The Freedom Frontier : Book 4,Jeff Norton,352,Hachette Children's Group,2014-01-02,7.44,0.56,4.45,40,0,1,4,11,24,567942,9781408314623,English,"Crafts, Hobbies"
The Book of the Shadow,"Carrie Asai, Renato Alarcão",224,Simon & Schuster,2013-11-02,14.76,0.24,3.73,630,9,45,207,218,151,1725870,9781481415408,English,"Crafts, Hobbies"
V for Violet,Alison Rattle,304,Hot Key Books,2016-07-01,8.92,0.58,3.59,110,9,7,34,30,30,1439869,9781471403811,English,"Crafts, Hobbies"
The Edge of the Light : Book 4 of The Edge of Nowhere Series,Elizabeth George,352,Hodder & Stoughton,2017-09-21,10.76,1.74,3.5,736,33,86,261,192,164,42519,9781444720136,English,"Crafts, Hobbies"
S.T.E.A.L.T.H.: Access Denied : Book 1,"Jason Rohan, Two Dots",304,Nosy Crow Ltd,2022-04-07,9.88,0.12,3.93,27,1,0,7,11,8,590943,9781839943386,English,"Crafts, Hobbies"
Island of the Blue Dolphins,Scott O'Dell,224,Penguin Random House Children's UK,2016-07-07,9.61,0.39,3.86,318714,10088,22770,75393,104566,105897,80909,9780141368627,English,"Crafts, Hobbies"
"The Cowardly Lion of Oz : The Wonderful Oz Books, #17",Ruth Plumly Thompson,268,Random House USA Inc,1985-06-01,18.50,1.40,3.75,291,7,22,94,83,85,1244072,9780345315861,English,"Crafts, Hobbies"
CHERUB: New Guard : Book 17,Robert Muchamore,320,Hachette Children's Group,2017-08-08,8.84,1.96,4.43,2135,12,33,247,569,1274,50521,9781444914146,English,"Crafts, Hobbies"
United As One : Lorien Legacies Book 7,Pittacus Lore,352,Penguin Books Ltd,2017-06-01,11.19,0.21,4.3,29076,190,682,3890,9731,14583,32210,9780718184896,English,"Crafts, Hobbies"
Secret Agent Jack Stalwart: Book 13: The Hunt for the Yeti Skull: Nepal,Elizabeth Hunt,128,"Running Press,U.S.",2011-10-11,6.49,0.51,4.47,176,1,5,20,35,115,84581,9781602861510,English,"Crafts, Hobbies"
The One Dollar Horse : Book 1,Lauren St John,336,Hachette Children's Group,2013-01-31,9.89,0.11,4.24,2382,21,72,354,802,1133,13076,9781444006360,English,"Crafts, Hobbies"
