title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
The Stalker : Book 16 in the Sunday Times bestselling crime series,Alex Gray,384,"Little, Brown Book Group",2019-03-21,14.73,3.77,4,1103,20,69,223,371,420,383821,9780751572308,English,"Crime, Thriller"
Presumed Dead : Carter Blake Book 5,Mason Cross,368,Orion Publishing Co,2018-04-19,10.90,7.10,4.21,577,3,10,81,249,234,426759,9781409172420,English,"Crime, Thriller"
The Hunter's Kind : Book 2 of The Hollow Gods,Rebecca Levene,480,Hodder & Stoughton,2017-09-05,12.10,2.40,3.82,262,2,23,67,98,72,400360,9781444753745,English,"Crime, Thriller"
Dead in the Water : DI Marjory Fleming Book 5,Aline Templeton,384,Hodder & Stoughton,2010-02-04,11.10,0.30,4.14,497,1,9,96,206,185,403824,9780340976968,English,"Crime, Thriller"
Murder on the Poet's Walk,Ellery Adams,304,Kensington Publishing,2022-09-27,9.82,0.18,4.36,1118,3,12,133,404,566,611737,9781496729484,English,"Crime, Thriller"
The Maggie Black Case Files Books 1-3,Jack McSporran,372,Inked Entertainment Ltd,2018-02-16,21.59,2.21,3.9,151,1,14,35,50,51,2735690,9781912382101,English,"Crime, Thriller"
Soot : The Times's Historical Fiction Book of the Month,Andrew Martin,352,"Little, Brown Book Group",2018-03-01,10.70,1.80,3.29,478,23,68,180,161,46,407473,9781472152459,English,"Crime, Thriller"
Geezer Girls : A gritty and addictive gangland thriller (Gangland Girls Book 1),Dreda Say Mitchell,448,HODDER & STOUGHTON,2009-07-23,11.54,1.96,4.27,599,14,22,73,168,322,332634,9780340937112,English,"Crime, Thriller"
The Perplexing Theft of the Jewel in the Crown : Baby Ganesh Agency Book 2,Vaseem Khan,368,Hodder & Stoughton,2017-03-23,9.82,1.68,4.06,3045,14,61,591,1455,924,117970,9781473612327,English,"Crime, Thriller"
City of Blades : The Divine Cities Book 2,Robert Jackson Bennett,464,Quercus Publishing,2017-01-12,13.13,2.87,4.21,15172,59,255,2057,6852,5949,22174,9781848669598,English,"Crime, Thriller"
A Touch Of Frost : (DI Jack Frost Book 2),R D Wingfield,432,Transworld Publishers Ltd,2008-09-02,11.57,0.93,4.1,3607,73,117,591,1414,1412,53150,9780552145558,English,"Crime, Thriller"
The No.1 Ladies' Detective Agency: BBC Radio Casebook Vol.2 : Eight BBC Radio 4 full-cast dramatisations,"Alexander McCall Smith, Claire Benedict, Full Cast, Nadine Marshall",1,"BBC Audio, A Division Of Random House",2018-11-01,24.05,5.45,4.24,41,0,0,10,11,20,29523,9781785297670,English,"Crime, Thriller"
Bryant & May and the Memory of Blood : (Bryant & May Book 9),Christopher Fowler,352,Transworld Publishers Ltd,2012-03-29,11.88,0.62,4.12,2374,17,49,392,1083,833,153438,9780857500946,English,"Crime, Thriller"
The Expendable Man,"Dorothy B. Hughes, Walter Mosley",264,"The New York Review of Books, Inc",2012-07-03,16.29,0.21,4.04,1904,12,56,378,849,609,39355,9781590174951,English,"Crime, Thriller"
The House of Death (Sister Fidelma Mysteries Book 32),Peter Tremayne,368,Headline Publishing Group,2022-03-03,10.41,2.09,4.37,203,0,4,29,57,113,43013,9781472265418,English,"Crime, Thriller"
Winter In Paradise : Book 1 in NYT-bestselling author Elin Hilderbrand's wonderful Paradise series,Elin Hilderbrand,320,Hodder & Stoughton,2019-09-19,9.39,2.11,4.08,96668,822,2553,16880,43906,32507,59750,9781473677449,English,"Crime, Thriller"
James Bond - the Phoenix Project : Casino Royale,"Jim Lawrence, Yaroslav Horak",120,Titan Books Ltd,2007-05-01,19.16,0.84,3.57,28,1,5,8,5,9,875970,9781845763121,English,"Crime, Thriller"
Only Human : Themis Files Book 3,Sylvain Neuvel,432,Penguin Books Ltd,2019-04-25,10.27,0.23,3.63,28210,502,2349,9174,11113,5072,283091,9781405935722,English,"Crime, Thriller"
The Book Club : An absolutely gripping psychological thriller with a killer twist,C. J. Cooper,384,"Little, Brown Book Group",2022-06-28,10.41,2.09,3.45,5068,163,620,1797,1735,753,292487,9781472129673,English,"Crime, Thriller"
Night Frost : (DI Jack Frost Book 3),R D Wingfield,432,Transworld Publishers Ltd,2008-09-02,11.57,0.93,4.13,2939,64,101,431,1123,1220,62504,9780552145589,English,"Crime, Thriller"
Intimacies : A New York Times Top 10 Book of 2021,Katie Kitamura,240,Vintage Publishing,2021-08-05,18.05,0.45,3.68,25056,351,1881,7786,10480,4558,121610,9781787332003,English,"Crime, Thriller"
"Baccano!, Vol. 3 (manga)","Ryohgo Narita, Shinta Fujimoto",192,"Little, Brown & Company",2018-05-22,13.31,0.69,4.31,65,0,0,10,25,30,474004,9780316448482,English,"Crime, Thriller"
Bryant & May - Hall of Mirrors : (Bryant & May Book 16),Christopher Fowler,400,Transworld Publishers Ltd,2019-02-07,12.35,0.15,4,1308,12,46,283,562,405,150683,9780857503114,English,"Crime, Thriller"
"Triage X, Vol. 21",Shouji Sato,168,"Little, Brown & Company",2021-06-15,12.21,2.79,3.2,10,1,1,4,3,1,257986,9781975324025,English,"Crime, Thriller"
Baked Books,Jessica Beck,188,Cozy Publishing,2017-04-01,16.31,1.39,4.22,226,3,7,37,70,109,9798201447939,9798201447939,English,"Crime, Thriller"
Dead Until Dark : The book that inspired the HBO sensation True Blood,Charlaine Harris,336,Orion Publishing Co,2011-10-20,9.87,1.63,3.96,524409,13760,30125,111959,173444,195121,46383,9780575117020,English,"Crime, Thriller"
The Mx Book of New Sherlock Holmes Stories Part II: 1890 to 1895,David Marcum,440,MX Publishing,2015-10-01,31.42,1.58,4.21,80,0,2,14,29,35,880711,9781780928296,English,"Crime, Thriller"
Books to blood : a murder mystery,"Harrie Blake, Shb Books",354,SHB Books,2021-12-31,16.87,0.33,4.83,6,0,0,0,1,5,9780645392913,9780645392913,English,"Crime, Thriller"
"The Shifting Tide (William Monk Mystery, Book 14) : A gripping Victorian mystery from London's East End",Anne Perry,416,Headline Publishing Group,2004-09-06,9.80,2.70,4.11,3435,18,72,649,1474,1222,400049,9780747268994,English,"Crime, Thriller"
"Skinner's Festival (Bob Skinner series, Book 2) : A gripping crime novel of Edinburgh's dark underbelly",Quintin Jardine,416,Headline Publishing Group,2009-08-06,11.37,3.13,3.91,647,17,26,163,235,206,52671,9780755357710,English,"Crime, Thriller"
Lucid Dreams,L V Tamez,282,iUniverse,2012-06-18,19.45,3.05,4.5,4,0,0,1,0,3,9781475926569,9781475926569,English,"Crime, Thriller"
Carolina Gamble,Dwight V. Murray,294,Wild Pony Publishing,2014-03-31,19.27,3.73,5,1,0,0,0,0,1,9780615237329,9780615237329,English,"Crime, Thriller"
Love and Resistance in WWII Germany : Three Book Collection,Marion Kummerow,570,Marion Kummerow,2020-07-12,34.43,0.77,4.43,68,0,0,11,17,40,1299605,9783948865139,English,"Crime, Thriller"
Tempted Knights : Last Chance,V R Vogt,480,Xlibris,2012-04-13,27.38,2.32,4.33,3,0,0,1,0,2,9781469175508,9781469175508,English,"Crime, Thriller"
This Mortal Storm,David V Mason,92,iUniverse,2007-07-11,7.79,5.11,5,2,0,0,0,0,2,9780595441075,9780595441075,English,"Crime, Thriller"
Bad Traffick : A Leine Basso Thriller,D V Berkom,258,Duct Tape Press,2015-07-31,16.06,0.94,4.19,544,5,13,89,204,233,9780692493373,9780692493373,English,"Crime, Thriller"
Severed Souls : Case No. 2,"S H Livernois, Miblart Book Cover Design",298,Indy Pub,2021-02-26,14.30,3.20,4.21,39,1,1,9,6,22,9781087953106,9781087953106,English,"Crime, Thriller"
Protector of Children : Assassin's Dreams,David V Mammina,216,iUniverse,2008-02-28,19.70,5.40,4.33,3,0,0,0,2,1,9780595719440,9780595719440,English,"Crime, Thriller"
Quad Vol. 1,"Eduardo Schaal, Aluisio Cervelle Santos, Diego Sanches",126,Behemoth Comics,2022-11-10,13.57,1.93,3.33,3,0,0,2,1,0,9781953414854,9781953414854,English,"Crime, Thriller"
Marked for Death : A Richard and Judy Book Club Pick (Dempsey/Devlin Book 2),Tony Kent,448,Elliott & Thompson Limited,2019-02-07,17.98,0.02,4.17,590,10,20,86,215,259,1580877,9781783963928,English,"Crime, Thriller"
From Fear and Fury,Monica V Mann,244,AuthorHouse,2016-03-09,29.42,2.78,4,2,0,0,1,0,1,9781504983143,9781504983143,English,"Crime, Thriller"
The Spread; Book 1 (The Hill),Iain Rob Wright,160,Ulcerated Press,2020-08-21,24.43,0.57,4,5,1,0,0,1,3,9781913523527,9781913523527,English,"Crime, Thriller"
