title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
"Project X Origins: Gold Book Band, Oxford Level 9: Communication: Message in an X-bot",Tony Bradman,24,Oxford University Press,2014-01-09,6.82,3.68,3,1,0,0,1,0,0,47103,9780198302032,English,"Dictionaries, Languages"
Oxford EAP: Intermediate/B1+: Student's Book and DVD-ROM Pack,"Edward De Chazal, Louis Rogers",223,Oxford University Press,2013-03-12,48.19,11.01,4.75,4,0,0,0,1,3,64875,9780194002011,English,"Dictionaries, Languages"
This Is Not A Book,Keri Smith,224,Penguin Books Ltd,2011-06-16,14.58,1.42,4.02,1505,37,93,307,434,634,23512,9781846144448,English,"Dictionaries, Languages"
Penguin Pocket Rhyming Dictionary,"Rosalind Fergusson, Market House Books Ltd, Daniele O. Arati, Peter Lewis",512,Penguin Books Ltd,2007-04-01,14.26,1.74,4,11,0,0,3,5,3,276355,9780141027210,English,"Dictionaries, Languages"
50 Steps to Improving Your Academic Writing Study Book,Chris Sowton,237,Garnet Publishing,2012-01-01,36.54,18.46,4.12,17,0,0,3,9,5,247408,9781859646557,English,"Dictionaries, Languages"
Chinese Flash Cards Kit Volume 3: Volume 3 : HSK Upper Intermediate Level (Online Audio Included),"Philip Yungkin Lee, Jun Yang",32,Tuttle Publishing,2014-03-04,26.39,3.11,4.56,9,0,0,1,2,6,146406,9780804842037,English,"Dictionaries, Languages"
The POLYNESIAN TATTOO Handbook Vol.2 : An in-depth study of Polynesian tattoos and their foundational symbols,Roberto Gemori,208,Roberto Gemori,2018-09-15,24.29,2.71,4.29,7,0,1,0,2,4,376765,9788894205657,English,"Dictionaries, Languages"
English for Primary Teachers,"Mary Slattery, Jane Willis",156,Oxford University Press,2002-11-07,32.26,6.24,3.81,36,2,4,6,11,13,336392,9780194375627,English,"Dictionaries, Languages"
A Multimodal Analysis of Picture Books for Children : A Systemic Functional Approach,Arsenio Jesús Moya Guijarro,316,Equinox Publishing Ltd,2014-11-30,36.94,5.86,4,1,0,0,0,1,0,1294466,9781908049780,English,"Dictionaries, Languages"
Book Production,Adrian Bullock,206,Taylor & Francis Ltd,2012-08-15,44.34,0.66,4.06,31,0,0,8,13,10,595766,9780415593809,English,"Dictionaries, Languages"
Making Out in Korean : A Korean Language Phrase Book,"Peter Constantine, Gene Baij, Laura Kingdon, Chris Backe",160,Tuttle Publishing,2014-09-23,7.21,1.29,3.65,57,3,3,17,22,12,359268,9780804843546,English,"Dictionaries, Languages"
The Book of Letters : A Mystical Hebrew Alphabet,Rabbi Lawrence Kushner,80,Jewish Lights Publishing,1990-11-15,9.94,4.56,4.39,198,1,5,22,57,113,223482,9781683363446,English,"Dictionaries, Languages"
Understanding Children's Books : A Guide for Education Professionals,Prue Goodwin,144,SAGE Publications Ltd,2008-07-15,38.44,18.06,4.33,6,0,0,0,4,2,752649,9781847870322,English,"Dictionaries, Languages"
Cambridge English Advanced 3 Student's Book with Answers with Audio,Cambridge University Press,184,Cambridge University Press,2018-06-21,40.66,5.23,4,3,0,0,1,1,1,50819,9781108431224,English,"Dictionaries, Languages"
"Project X Origins: Turquoise Book Band, Oxford Level 7: Hide and Seek: Animal Magic",Mick Gowar,16,Oxford University Press,2014-01-09,6.35,3.65,4,8,0,0,3,2,3,344693,9780198301646,English,"Dictionaries, Languages"
"Five Chapter Books 1 : Sound-Out Phonics Books Help Developing Readers, including Students with Dyslexia, Learn to Read (Step 1 in a Systematic Series of Decodable Books)",Pamela Brookes,142,DOG ON A LOG Books,2017-10-10,12.14,1.96,4.4,5,0,0,1,1,3,734179,9781949471007,English,"Dictionaries, Languages"
Cambridge Academic English B1+ Intermediate Student's Book : An Integrated Skills Course for EAP,"Michael Mccarthy, Craig Thaine",176,Cambridge University Press,2012-03-19,38.39,0.11,4.18,11,0,0,2,5,4,173114,9780521165198,English,"Dictionaries, Languages"
The Wordless Travel Book : Point at These Pictures to Communicate with Anyone,Jonathan Meader,18,Random House USA Inc,1995-12-01,5.09,1.91,3.88,8,1,1,0,2,4,234045,9780898158090,English,"Dictionaries, Languages"
The Social Life of Books : Reading Together in the Eighteenth-Century Home,Abigail Williams,368,Yale University Press,2017-08-02,37.43,1.07,3.87,79,1,7,8,48,15,695153,9780300208290,English,"Dictionaries, Languages"
Introduction to French Poetry : A Dual-Language Book,Stanley Appelbaum,192,Dover Publications Inc.,2003-03-28,11.20,2.80,3.79,97,1,5,29,40,22,52968,9780486267111,English,"Dictionaries, Languages"
E-books in Libraries : A Practical Guide,"Kate Price, Virginia Havergal",368,Facet Publishing,2011-02-20,80.62,11.98,3.67,3,0,1,0,1,1,727450,9781856045728,English,"Dictionaries, Languages"
The Little Blue Book : The Essential Guide to Thinking and Talking Democratic,"George Lakoff, Elisabeth Wehling",160,Free Press,2012-06-26,13.75,1.75,4.01,337,4,11,74,137,111,236985,9781476700014,English,"Dictionaries, Languages"
MINNA NO NIHONGO SHOKYU [2ND ED.] VOL. 2 WORKBOOK HYOJUN MONDAISHU,3A Corporation,64,3A Corporation,2013-06-01,15.77,11.73,4.12,64,1,4,9,22,28,19833,9784883196630,Japanese,"Dictionaries, Languages"
Level 5: Sherlock Holmes Short Stories Book and MP3 Pack : Industrial Ecology,"Arthur Conan Doyle, Arthur Doyle",9998,Pearson Education Limited,2015-08-07,12.11,0.72,3.88,336,9,12,86,132,97,446326,9781408276549,English,"Dictionaries, Languages"
Ragdoll : Now a major TV series,Daniel Cole,400,Orion Publishing Co,2017-10-19,10.12,1.38,3.88,18981,322,1103,4546,7646,5364,47537,9781409168768,English,"Dictionaries, Languages"
"Illustrated History of Britain, An Paper",David McDowall,192,Pearson Education Limited,1989-02-27,42.30,2.63,3.64,304,3,27,104,111,59,383720,9780582749146,English,"Dictionaries, Languages"
Oxford Discover: 3: Student Book,Lesley Koustaff,192,Oxford University Press,2013-12-05,50.16,9.84,4,1,0,0,0,1,0,570201,9780194278713,English,"Dictionaries, Languages"
"The Books of Nahum, Habakkuk, and Zephaniah",Thomas Renz,743,William B Eerdmans Publishing Co,2021-06-08,53.15,2.85,5,2,0,0,0,0,2,611219,9780802826268,English,"Dictionaries, Languages"
Cambridge English Proficiency 2 Student's Book with Answers with Audio : Authentic Examination Papers from Cambridge English Language Assessment,Various,176,Cambridge University Press,2015-05-21,43.74,3.91,3,1,0,0,1,0,0,119504,9781107646513,English,"Dictionaries, Languages"
Nelson International Science Student Book 6,Anthony Russell,136,Oxford University Press,2014-11-01,19.10,1.40,5,1,0,0,0,0,1,571037,9781408517253,English,"Dictionaries, Languages"
Nuevo Espanol en Marcha 3: Student Book with CD Level B1: Level 3 : Curso de Espanol Como Lengua Extranjera,"Francisco Castro Viudez, Ignacio Rodero Díez, Carmen Sardinero Francos",182,Sociedad General Espanola de Libreria,2014-09-15,41.04,3.76,5,1,0,0,0,0,1,4785,9788497787406,Spanish,"Dictionaries, Languages"
Talk French 2 Book,Sue Purcell,160,Pearson Education Limited,2014-08-15,8.64,1.36,5,1,0,0,0,0,1,468974,9781406679106,English,"Dictionaries, Languages"
Cambridge English Proficiency 1 for Updated Exam Self-study Pack (Student's Book with Answers and Audio CDs (2)) : Authentic Examination Papers from Cambridge ESOL,Cambridge Esol,164,Cambridge University Press,2012-11-30,44.76,3.14,3.9,10,0,1,3,2,4,89306,9781107691643,English,"Dictionaries, Languages"
Easy Steps to Chinese: Textbook v. 4,Yamin Ma,163,"Beijing Language & Culture University Press,China",2007-12-01,31.79,15.20,4.75,4,0,0,0,1,3,22363,9787561919965,English,"Dictionaries, Languages"
This Is Not A Book,Keri Smith,224,Penguin Books Ltd,2011-06-16,14.58,1.42,4.02,1505,37,93,307,434,634,23512,9781846144448,English,"Dictionaries, Languages"
Save the Cat! : The Last Book on Screenwriting You'll Ever Need,Blake Snyder,216,Michael Wiese Productions,2007-01-29,18.31,0.19,4.04,16749,318,838,3076,6134,6383,24085,9781932907001,English,"Dictionaries, Languages"
An Illustrated Book of Bad Arguments,"Ali Almossawi, Alejandro Giraldo",64,Scribe Publications,2014-12-04,16.68,1.82,3.8,4687,56,363,1317,1676,1275,16145,9781922247810,English,"Dictionaries, Languages"
