title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
Book of Longing,Leonard Cohen,240,Ecco Press,2011-06-24,14.57,2.43,4.01,9634,139,501,1936,3600,3458,58314,9780061125614,English,Entertainment
"Michael Aaron Adult Piano Course, Book 1",Aaron,64,"Warner Bros. Publications Inc.,U.S.",2000-03-01,10.12,2.83,3.7,10,1,1,2,2,4,50724,9780769235967,English,Entertainment
Melodious Double-Stops Complete : Books 1 and 2,Josephine Trott,46,Hal Leonard Corporation,2007-10-21,14.49,1.51,4.36,14,0,0,1,7,6,37820,9781423427094,English,Entertainment
Alfred's Basic Piano Library Theory Book 1A : Universal Edition,"Willard A Palmer, Morton Manus, Amanda Vick Lethco",40,"Alfred Publishing Co Inc.,U.S.",1993-03-01,8.54,0.46,4.31,35,0,1,4,13,17,35120,9780739012611,English,Entertainment
Piano Adventures Performance Book Primer Level : 2nd Edition,"Nancy Faber, Randall Faber",32,FABER PIANO ADVENTURES,1996-01-01,7.40,1.60,3.56,41,9,2,5,7,18,35360,9781616770778,English,Entertainment
Book of Barb : A celebration of Stranger Things' iconic wing woman,"Nadia Bailey, Phil Constantinesco",96,Smith Street Books,2017-08-01,17.35,0.15,3.63,178,3,19,60,54,42,194238,9781925418477,English,Entertainment
Aladdin (Disney Animated Classics) : A deluxe gift book of the classic film - collect them all!,Lily Murray,64,Bonnier Books Ltd,2019-05-02,15.11,2.39,4.43,136,0,1,19,36,80,10617,9781787414655,English,Entertainment
"Accent On Achievement, Book 3 (Bb Trumpet)","Professor John O'Reilly, Mark Williams",40,"Alfred Publishing Co Inc.,U.S.",1999-05-01,8.54,0.46,5,2,0,0,0,0,2,298784,9780739006313,English,Entertainment
"Creative Composition Toolbox, Book 2 : A Step-by-Step Guide for Learning to Compose",Wynn-Anne Rossi,24,"Alfred Publishing Co Inc.,U.S.",2011-06-01,7.07,0.93,5,1,0,0,0,0,1,509792,9780739082379,English,Entertainment
"Accent on Achievement, Book 1 (Electric Bass)","Professor John O'Reilly, Mark Williams",48,"Alfred Publishing Co Inc.,U.S.",2014-08-22,10.85,3.10,3.79,48,4,5,9,9,21,363291,9780739005101,English,Entertainment
