title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
"The Promised Neverland, Vol. 9","Kaiu Shirai, Posuka Demizu",192,"Viz Media, Subs. of Shogakukan Inc",2019-05-02,9.54,0.96,4.59,8652,18,40,520,2341,5733,9339,9781974704873,English,Fiction
"Toilet-bound Hanako-kun, Vol. 3",AidaIro,180,"Little, Brown & Company",2020-06-09,11.30,2.70,4.61,4217,4,24,220,1103,2866,2557,9781975311353,English,Fiction
"My Hero Academia, Vol. 19",Kohei Horikoshi,192,"Viz Media, Subs. of Shogakukan Inc",2019-06-27,8.73,0.27,4.29,6074,41,142,912,1897,3082,5265,9781974704606,English,Fiction
"My Hero Academia, Vol. 30",Kohei Horikoshi,200,"Viz Media, Subs. of Shogakukan Inc",2022-04-14,9.36,1.64,4.66,3994,13,23,212,823,2923,2569,9781974727155,English,Fiction
"Komi Can't Communicate, Vol. 2",Tomohito Oda,192,"Viz Media, Subs. of Shogakukan Inc",2019-09-05,9.64,0.86,4.26,4795,16,84,691,1862,2142,9043,9781974707133,English,Fiction
"Naruto, Vol. 3",Masashi Kishimoto,208,"Viz Media, Subs. of Shogakukan Inc",2007-09-03,10.48,0.02,4.45,18605,119,370,2125,4458,11533,5941,9781591161875,English,Fiction
"Naruto: Itachi's Story, Vol. 1 : Daylight","Takashi Yano, Jocelyne Allen, Masashi Kishimoto",180,"Viz Media, Subs. of Shogakukan Inc",2016-11-17,10.36,0.14,4.47,2028,14,42,190,517,1265,6678,9781421591308,English,Fiction
"Hunter x Hunter, Vol. 1",Yoshihiro Togashi,184,"Viz Media, Subs. of Shogakukan Inc",2016-09-22,9.83,1.17,4.53,47841,504,853,3977,9894,32613,11486,9781591167532,English,Fiction
Books of Blood Omnibus: v. 1,Clive Barker,512,"Little, Brown Book Group",1988-02-01,15.34,0.66,4.18,26767,324,855,4320,9330,11938,55566,9780751510225,English,Fiction
"My Hero Academia, Vol. 7",Kohei Horikoshi,192,"Viz Media, Subs. of Shogakukan Inc",2017-02-23,9.67,0.83,4.51,11238,28,80,937,3237,6956,11149,9781421590400,English,Fiction
"Demon Slayer: Kimetsu no Yaiba, Vol. 10",Koyoharu Gotouge,200,"Viz Media, Subs. of Shogakukan Inc",2020-01-23,9.36,1.14,4.61,10280,21,60,593,2508,7098,2748,9781974704552,English,Fiction
"Dragon Ball Super, Vol. 9","Akira Toriyama, Toyotarou",192,"Viz Media, Subs. of Shogakukan Inc",2020-06-25,9.28,1.22,4.31,999,10,21,136,318,514,8625,9781974712366,English,Fiction
"Toilet-bound Hanako-kun, Vol. 5",AidaIro,181,"Little, Brown & Company",2020-10-20,10.83,2.67,4.51,3193,6,20,267,935,1965,8878,9781975311377,English,Fiction
"Dragon Ball Super, Vol. 15","Akira Toriyama, Toyotarou",192,"Viz Media, Subs. of Shogakukan Inc",2022-03-03,9.99,1.01,4.23,606,6,20,93,196,291,3385,9781974725175,English,Fiction
"Tokyo Ghoul, Vol. 10",Sui Ishida,216,"Viz Media, Subs. of Shogakukan Inc",2016-12-20,12.43,0.57,4.41,8836,41,120,903,2915,4857,2052,9781421580456,English,Fiction
"One-Punch Man, Vol. 10","One, Yusuke Murata",216,"Viz Media, Subs. of Shogakukan Inc",2017-01-26,9.86,1.14,4.43,4681,11,50,498,1494,2628,4583,9781421590158,English,Fiction
"Tokyo Ghoul, Vol. 11",Sui Ishida,216,"Viz Media, Subs. of Shogakukan Inc",2017-03-09,12.25,0.75,4.49,9431,27,115,842,2654,5793,2740,9781421580463,English,Fiction
"Komi Can't Communicate, Vol. 17",Tomohito Oda,192,"Viz Media, Subs. of Shogakukan Inc",2022-06-23,9.90,1.10,4.49,994,1,7,88,303,595,8593,9781974724550,English,Fiction
