title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
Madame Prunier's Fish Cookery Book,Madame Prunier,304,Quadrille Publishing Ltd,2011-04-01,13.13,18.14,3,2,0,0,2,0,0,911325,9781844009589,English,"Food, Drink"
"The Multiple Sclerosis Diet Book : A Low-Fat Diet for the Treatment of M.S., Revised and Expanded Edition","Roy Laver Swank, Barbara Brewer Dugan",416,Bantam Doubleday Dell Publishing Group Inc,1987-04-01,36.77,0.73,3.8,61,6,2,17,9,27,110553,9780385232791,English,"Food, Drink"
The Sous Vide Recipe Book,Norma Miller,160,"Little, Brown Book Group",2015-06-02,7.78,3.72,3.78,9,0,2,1,3,3,107441,9780716023340,English,"Food, Drink"
The Simple Little Vegan Dog Book : Cruelty-Free Recipes for Canines,Michelle Rivera,98,Book Publishing Company,2009-10-05,10.37,0.13,3.54,28,1,5,7,8,7,94123,9781570672439,English,"Food, Drink"
The Ultimate Smoothie Book,Cherie Calbom,384,"Little, Brown & Company",2006-06-15,19.95,0.55,3.62,94,5,12,27,20,30,230120,9780446695794,English,"Food, Drink"
Tacos,Lily Ramirez-Foran,72,Nine Bean Rows Books,2022-02-03,15.47,0.53,4.71,7,0,0,0,2,5,63992,9781999379902,English,"Food, Drink"
The United Nations of Cookies,"Jess Murphy, Eoin Cluskey",72,Nine Bean Rows Books,2022-08-04,15.43,0.57,3.75,4,0,0,1,3,0,158805,9781999379926,English,"Food, Drink"
A Plain Cookery Book for the Working Classes (Dodo Press),Professor Charles Elme Francatelli,88,Dodo Press,2008-11-28,9.13,1.86,3.31,137,16,21,35,34,31,1561845,9781409933120,English,"Food, Drink"
The Comprehensive Guide to Herbalism for Beginners : (2 Books in 1) Grow Medicinal Herbs to Fill Your Herbalist Apothecary with Natural Herbal Remedies and Plant Medicine,"Ava Green, Kate Bensinger",300,Green HopeX,2022-02-20,39.81,7.59,4,6,0,0,2,2,2,1490022,9781956493115,English,"Food, Drink"
The Queen Cookery Books ...,S Beaty-Pownall,150,Nabu Press,2010-03-02,20.41,1.58,1,1,1,0,0,0,0,9781146365888,9781146365888,English,"Food, Drink"
The Queen Cookery Books ...,S Beaty-Pownall,264,Nabu Press,2010-04-03,26.33,0.66,1,1,1,0,0,0,0,9781148517223,9781148517223,English,"Food, Drink"
The Big Sports Recipe Book,,112,Bene Factum Publishing Ltd,2012-07-30,16.75,1.77,2,1,0,1,0,0,0,2698577,9781903071502,English,"Food, Drink"
"Yogiplate : The Fundamentals of Sattvic Food | An easy and practical guide to cooking and eating sattvic food by a former ISKCON monk | Penguin Books, Non-fiction | Ayurveda, Healing & Health",Radhavallabha Das,299,Penguin Random House India,2022-04-15,14.04,1.46,4.8,5,0,0,0,1,4,1831767,9780143454533,English,"Food, Drink"
"Burnt Toast and Other Disasters : A Book of Heroic Hacks, Fabulous Fixes, and Secret Sauces",Cal Peternell,176,HarperCollins Publishers Inc,2021-10-14,26.68,0.82,4,2,0,0,0,2,0,1045370,9780062986740,English,"Food, Drink"
I Love My Ice Cream Maker : The only ice cream maker recipe book you'll ever need,Cooknation,92,Bell & Mackenzie Publishing,2019-04-29,10.59,0.01,4.46,13,0,1,1,2,9,882492,9781912155118,English,"Food, Drink"
"Book of Ices, Including Cream and Water Ices, Sorbets, Mousses, Iced Souffles, and Various Iced Dishes.",B  A Marshall,92,Impala (InternationalMedia Publication and Literary Associates,2006-11-30,14.32,6.68,3,2,0,0,2,0,0,1778357,9781905530083,English,"Food, Drink"
The Best Way - A Book Of Household Hints & Recipes,Various,152,Read Books,2006-05-30,21.30,13.80,4.67,3,0,0,0,1,2,2152881,9781406798326,English,"Food, Drink"
"O Libro Da Empanada/ The Book of Empanadas : Historia, Tradicion E 107 Receitas","Fina Casalderrey, Mariano García",246,Grupo Anaya Comercial,2017-09-11,37.65,4.96,4,3,0,0,1,1,1,1792860,9788497824187,Galician,"Food, Drink"
"The Skinny Gluten Free Slow Cooker Recipe Book : Delicious Gluten Free Recipes Under 300, 400 And 500 Calories",Cooknation,92,Bell & Mackenzie Publishing,2016-09-14,10.59,0.11,3,1,0,0,1,0,0,2736383,9781911219262,English,"Food, Drink"
The Book Of Camp-Lore And Woodcraft - Legacy Edition : Dan Beard's Classic Manual On Making The Most Out Of Camp Life In The Woods And Wilds,Daniel Carter Beard,298,Doublebit Press,2019-12-04,22.02,1.88,4.22,59,0,2,10,20,27,2223617,9781643890265,English,"Food, Drink"
The Book of Great Hors d'Oeuvre,Terence Janericco,800,Houghton Mifflin Harcourt Publishing Company,1990-05-15,86.64,1.86,4,1,0,0,0,1,0,2053447,9780471283928,English,"Food, Drink"
The Big Sports Recipe Book,,112,Bene Factum Publishing Ltd,2012-07-30,16.75,1.77,2,1,0,1,0,0,0,2698577,9781903071502,English,"Food, Drink"
Healthy Forever : The Happiest Weight Loss Book Ever!,Connie Simmonds,200,Bonnier Books Ltd,2018-06-14,18.79,0.71,4.15,13,0,1,2,4,6,1031021,9781788700368,English,"Food, Drink"
"The Gentleman's Companion : Being an Exotic Drinking Book Or, Around the World with Jigger, Beaker and Flask",Charles Henry Baker,232,Echo Point Books & Media,2015-04-30,19.98,0.12,4.36,25,0,0,2,12,11,1027208,9781626541139,English,"Food, Drink"
The Burger King : A Whopper of a Story on Life and Leadership (For Fans of Company History Books like My Warren Buffett Bible or Elon Musk),Jim McLamore,304,Mango Media,2020-05-19,23.18,1.77,3.81,48,0,7,9,18,14,1591507,9781642502824,English,"Food, Drink"
Maple Sugaring,David K. Leff,220,Wesleyan University Press,2015-11-05,23.73,2.27,4.43,7,0,0,1,2,4,2112220,9780819575692,English,"Food, Drink"
Little Tea Book,"Arthur Gray, George Hood",112,Applewood Books,2008-01-01,10.16,0.84,3.24,83,0,21,34,15,13,2551756,9781429010559,English,"Food, Drink"
Intimacy On The Plate (Extra Trim Edition) : 209 Aphrodisiac Recipes to Spice Up Your Love Life at Home Tonight,"Olga Petrenko, Anastasia Petrenko, Gregory V Diehl",306,Identity Publications,2018-01-18,18.36,2.14,4.2,40,0,2,7,12,19,2745273,9781945884412,English,"Food, Drink"
The Little Book of Beer Tips,Andrew Langley,112,Absolute Press,2017-11-28,7.44,1.56,3.5,4,0,1,1,1,1,2576646,9781472954527,English,"Food, Drink"
The Little Book of Wine Tips,Andrew Langley,112,Absolute Press,2017-11-28,8.27,0.23,4,5,1,0,0,1,3,2573807,9781472954480,English,"Food, Drink"
I Love My Omelette Maker : The Only Omelette Maker Recipe Book You'll Ever Need,Cooknation,88,Bell & Mackenzie Publishing,2019-04-29,10.46,0.04,4.44,16,0,0,2,5,9,800260,9781911219972,English,"Food, Drink"
Type 2 Diabetes Cookbook and Action Plan & Blood Pressure Solution - 2 Books in 1 Bundle : Ultimate Beginner's Book Collection to Naturally Lower Your Blood Pressure & Guide To Reverse Diabetes,"Jennifer Louissa, Louise Jiannes, Hmw Publishing",272,A&G DIRECT INC.,2018-05-15,20.69,4.31,4,1,0,0,0,1,0,9781774350232,9781774350232,English,"Food, Drink"
Mb Test Kitchen Favourites: Low-Fat,Murdoch Books Test Kitchen,96,Murdoch Books,2012-02-01,11.54,2.59,5,1,0,0,0,0,1,3669055,9781742666860,English,"Food, Drink"
"70 Top Green Smoothie Recipe Book : Smoothie Recipe & Diet Book for a Sexy, Slimmer & Youthful You","Samantha Michaels, Michaels Samantha",50,Weight A Bit,2013-06-24,10.98,4.82,3.67,18,1,2,5,4,6,2224516,9781628841190,English,"Food, Drink"
