title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
"Dorohedoro, Vol. 17",Q Hayashida,216,"Viz Media, Subs. of Shogakukan Inc",2015-12-15,12.87,0.13,4.47,632,1,1,54,219,357,13260,9781421577968,English,"Graphic, Novels, Anime, Manga"
Dai Dark Vol. 2,Q Hayashida,180,"Seven Seas Entertainment, LLC",2021-07-06,12.13,2.37,4.29,534,0,7,68,220,239,1534,9781648272677,English,"Graphic, Novels, Anime, Manga"
"Moriarty the Patriot, Vol. 5","Ryosuke Takeuchi, Sir Arthur Doyle, Hikaru Miyoshi",208,"Viz Media, Subs. of Shogakukan Inc",2021-11-25,10.68,0.32,4.36,1475,3,13,170,557,732,3708,9781974720842,English,"Graphic, Novels, Anime, Manga"
"Sasaki and Miyano, Vol. 4",Syou Harusono,130,"Little, Brown & Company",2021-11-09,11.73,0.77,4.48,1854,4,12,160,596,1082,2454,9781975323844,English,"Graphic, Novels, Anime, Manga"
Made in Abyss Vol. 9,Akihito Tsukushi,180,"Seven Seas Entertainment, LLC",2021-03-30,11.13,3.87,3.99,485,10,35,92,161,187,10776,9781645057383,English,"Graphic, Novels, Anime, Manga"
"Hunter x Hunter, Vol. 12",Yoshihiro Togashi,192,"Viz Media, Subs. of Shogakukan Inc",2016-09-22,9.92,1.08,4.46,1810,0,23,181,546,1060,12125,9781421506470,English,"Graphic, Novels, Anime, Manga"
"Bungo Stray Dogs: Beast, Vol. 3","Kafka Asagiri, Shiwasu Hoshikawa, Sango Harukawa",196,"Little, Brown & Company",2022-08-02,13.41,0.09,4.61,273,0,3,21,55,194,5146,9781975344931,English,"Graphic, Novels, Anime, Manga"
"Golden Kamuy, Vol. 1",Satoru Noda,192,"Viz Media, Subs. of Shogakukan Inc",2017-07-13,10.95,1.05,4.27,2114,11,38,269,854,942,4096,9781421594880,English,"Graphic, Novels, Anime, Manga"
"Toilet-bound Hanako-kun, Vol. 12",AidaIro,180,"Little, Brown & Company",2022-01-18,13.43,0.57,4.61,1680,3,6,93,444,1134,8864,9781975316877,English,"Graphic, Novels, Anime, Manga"
A Silent Voice Vol. 5,Yoshitoki Oima,194,"Kodansha America, Inc",2016-01-21,10.76,1.74,4.45,6986,17,79,631,2296,3963,11433,9781632360601,English,"Graphic, Novels, Anime, Manga"
"Toilet-bound Hanako-kun, Vol. 16",AidaIro,184,"Little, Brown & Company",2022-10-04,13.23,0.27,4.73,813,1,0,26,164,622,9100,9781975347338,English,"Graphic, Novels, Anime, Manga"
"The Legend of Zelda: Twilight Princess, Vol. 2",Akira Himekawa,192,"Viz Media, Subs. of Shogakukan Inc",2017-08-24,9.33,0.67,4.36,1807,8,19,239,581,960,12887,9781421596563,English,"Graphic, Novels, Anime, Manga"
Dai Dark Vol. 4,Q Hayashida,214,"Seven Seas Entertainment, LLC",2022-08-02,12.74,3.26,4.18,178,0,4,30,74,70,1939,9781638583790,English,"Graphic, Novels, Anime, Manga"
"Call of the Night, Vol. 3",Kotoyama,208,"Viz Media, Subs. of Shogakukan Inc",2021-09-30,9.49,0.51,4.19,396,0,5,77,153,161,5359,9781974720804,English,"Graphic, Novels, Anime, Manga"
Pandora Hearts: v. 3,Jun Mochizuki,192,"Little, Brown & Company",2010-10-26,12.24,0.16,4.42,8085,56,179,994,1954,4902,59267,9780316076104,English,"Graphic, Novels, Anime, Manga"
Miss Kobayashi's Dragon Maid Vol. 1,Coolkyousinnjya,144,"Seven Seas Entertainment, LLC",2016-10-18,11.58,1.42,4.15,1280,12,51,227,428,562,36891,9781626923485,English,"Graphic, Novels, Anime, Manga"
Lumberjanes Vol. 4 : Out Of Time,"Shannon Watters, ND Stevenson, Grace Ellis, Gus Allen",112,Boom! Studios,2016-08-11,12.99,1.51,4.26,11824,133,260,1479,4508,5444,37767,9781608868605,English,"Graphic, Novels, Anime, Manga"
"Log Horizon, Vol. 1 (light novel) : The Beginning of Another World","Mamare Touno, Kazuhiro Hara",224,"Little, Brown & Company",2015-04-21,12.66,2.34,4.13,1477,16,56,265,520,620,25864,9780316383059,English,"Graphic, Novels, Anime, Manga"
"PandoraHearts, Vol. 4",Jun Mochizuki,192,"Little, Brown & Company",2011-01-25,12.10,0.40,4.42,4909,21,97,593,1285,2913,38916,9780316076111,English,"Graphic, Novels, Anime, Manga"
DC Dark Knights of Steel Vol. 1,"Tom Taylor, Yasmine Putri",176,DC Comics,2022-09-20,22.84,3.16,4.22,383,2,9,53,156,163,10786,9781779516756,English,"Graphic, Novels, Anime, Manga"
Batman Vol. 2: I Am Suicide (Rebirth),"Tom King, Mikel Janin",168,DC Comics,2017-04-18,15.21,0.29,3.71,4576,94,331,1342,1867,942,27728,9781401268541,English,"Graphic, Novels, Anime, Manga"
"Zom 100: Bucket List of the Dead, Vol. 2","Haro Aso, Kotaro Takata",160,"Viz Media, Subs. of Shogakukan Inc",2021-06-24,11.26,1.74,4.01,814,9,23,181,336,265,8962,9781974720668,English,"Graphic, Novels, Anime, Manga"
"Ao Haru Ride, Vol. 12",Io Sakisaka,192,"Viz Media, Subs. of Shogakukan Inc",2020-09-03,10.17,0.33,4.4,5249,19,109,615,1527,2979,23795,9781974708222,English,"Graphic, Novels, Anime, Manga"
"Don't Be Cruel, Vol. 7",Yonezou Nekota,188,"Viz Media, Subs. of Shogakukan Inc",2018-10-04,10.13,0.87,4.28,258,2,0,34,111,111,35697,9781421593791,English,"Graphic, Novels, Anime, Manga"
