title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
Fear Book,Huber Cheri,180,"Keep it Simple Books,U.S.",2016-12-01,12.71,0.29,4.24,335,2,9,48,122,154,273132,9780991596324,English,Health
The Ladybird Book of The Quiet Night In,"Jason Hazeley, Joel Morris",56,Penguin Books Ltd,2018-06-01,9.80,5.70,3.51,105,3,13,36,33,20,79329,9780718188689,English,Health
The Book of No : 365 Ways to Say it and Mean it-and Stop People-Pleasing Forever (Updated Edition),"Susan Newman, Cristina Schreil",288,Turner Publishing Company,2017-12-05,17.12,5.88,3.35,57,3,11,19,11,13,427180,9781683366904,English,Health
The Complete Bushfire Safety Book,Joan Webster,368,RANDOM HOUSE AUSTRALIA,2000-11-03,35.96,1.04,4.4,5,0,0,1,1,3,388090,9781740510349,English,Health
A Book About What Autism Can Be Like,"Sue Adams, Donna Williams",48,Jessica Kingsley Publishers,2008-12-15,13.99,3.11,4,3,0,0,1,1,1,293167,9781843109402,English,Health
Overcoming Sexual Problems 2nd Edition : A self-help guide using cognitive behavioural techniques,Vicki Ford,416,"Little, Brown Book Group",2018-09-25,11.81,4.19,4,1,0,0,0,1,0,259422,9781472138675,English,Health
"The Skinny Slow Cooker Vegetarian Recipe Book : Meat Free Recipes Under 200,300 And 400 Calories",Cooknation,112,Caton Books,2013-06-28,9.54,1.16,3.51,35,2,5,12,5,11,290469,9781909855007,English,Health
The Big Activity Book for Anxious People,"Jordan Reid, Erin Williams",160,John Murray Press,2019-08-22,11.29,4.71,3.79,118,4,13,25,38,38,37933,9781529352375,English,Health
Emotional Sensitivity and Intensity : How to manage intense emotions as a highly sensitive person - learn more about yourself with this life-changing self help book,Imi Lo,256,John Murray Press,2018-05-29,13.05,2.95,4.33,273,7,8,34,62,162,10694,9781473656031,English,Health
Couple Therapy - A New Hope-Focused Approach,"Jennifer S. Ripley, Everett L. Worthington Jr.",399,InterVarsity Press,2014-08-29,34.92,21.58,4.28,57,0,0,8,25,24,51548,9780830828579,English,Health
Give Your Child the World : Raising Globally Minded Kids One Book at a Time,"Jamie C. Martin, Tsh Oxenreider",224,Zondervan,2016-07-28,14.22,6.28,4.11,1623,17,51,291,639,625,83661,9780310344131,English,Health
Don't You Dare Get Married Until You Read This! : The Book of Questions for Couples,Corey Donaldson,192,Random House USA Inc,2001-05-22,13.10,0.90,3.32,63,8,11,16,9,19,896818,9780609807835,English,Health
As We Grow : A Modern Memory Book for Married Couples,Korie Herold,160,Random House USA Inc,2019-04-16,40.15,7.85,5,1,0,0,0,0,1,826444,9781944515843,English,Health
"70 Top Green Smoothie Recipe Book : Smoothie Recipe & Diet Book for a Sexy, Slimmer & Youthful You (with Recipe Journal)",Samantha Michaels,94,Cooking Genius,2014-03-31,13.38,7.92,3.67,18,1,2,5,4,6,1955142,9781632875761,English,Health
The Crazy Busy Cure *BUSINESS BOOK AWARDS WINNER 2022* : A productivity book for people with no time for productivity books,Zena Everett,176,John Murray Press,2023-01-03,9.10,4.40,3,3,1,0,1,0,1,1734724,9781529367096,English,Health
Six Practical Lessons for an Easier Childbirth : The Classic Book on the Lamaze Method,Elisabeth Bing,176,Bantam Doubleday Dell Publishing Group Inc,1994-03-01,14.19,1.41,3.48,31,3,4,8,7,9,57091,9780553373691,English,Health
Given: A Give & Take Novel (Book 3),Kelli Maine,288,Headline Publishing Group,2014-03-06,9.96,1.03,3.88,654,20,36,159,228,211,1903880,9781472211309,English,Health
