title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
The Long Song: Shortlisted for the Man Booker Prize 2010 : Now A Major BBC Drama and BBC Between the Covers Book Club pick,Andrea Levy,432,Headline Publishing Group,2011-01-10,12.12,1.38,3.76,9638,218,631,2640,3903,2246,4364,9780755359424,English,"History, Archaeology"
The Chessmen : The explosive finale in the million-selling series (The Lewis Trilogy Book 3),Peter May,400,Quercus Publishing,2016-01-05,10.00,1.50,4.1,18259,97,475,3354,7900,6433,4357,9780857382252,English,"History, Archaeology"
"The Library, Books 16-20 : Philip II, Alexander the Great, and the Successors","Diodorus Siculus, Robin Waterfield",624,Oxford University Press,2019-09-01,14.82,1.68,4.26,38,0,2,3,16,17,63416,9780198759881,English,"History, Archaeology"
"The Little Capoeira Book, Revised Edition","Nestor Capoeira, Alex Ladd",240,"North Atlantic Books,U.S.",2007-12-26,19.33,1.67,4.07,245,1,5,47,116,76,295817,9781583941980,English,"History, Archaeology"
"The Spies of Sobeck (Amerotke Mysteries, Book 7) : Murder and intrigue from Ancient Egypt",Paul Doherty,320,Headline Publishing Group,2009-04-02,9.39,3.11,4.12,512,5,14,104,183,206,256544,9780755338474,English,"History, Archaeology"
Feminisms : A Global History,Lucy Delap,416,Penguin Books Ltd,2021-09-01,12.63,1.87,3.88,198,5,11,45,78,59,287946,9780141985985,English,"History, Archaeology"
The Mammoth Book of Conspiracies,Jon E. Lewis,624,"Little, Brown Book Group",2012-02-16,15.78,0.22,3.21,101,7,20,34,25,15,316553,9781849013635,English,"History, Archaeology"
Memories : From Moscow to the Black Sea,"Teffi, Robert Chandler, Anne Marie Jackson, Irina Steinberg, Edythe Haber",296,"The New York Review of Books, Inc",2016-05-03,18.58,0.92,4.1,746,8,22,140,296,280,239142,9781590179512,English,"History, Archaeology"
The Buried Book : The Loss and Rediscovery of the Great Epic of Gilgamesh,David Damrosch,336,St Martin's Press,2008-01-08,24.99,0.31,3.63,574,6,45,197,233,93,467567,9780805087253,English,"History, Archaeology"
"Mediterranean Air War, 1940-1945: North Africa, June 1940 - January 1942 v. 1","Christopher Shores, Giovanni Massimello, Russell Guest",448,GRUB STREET,2012-06-30,57.05,3.45,4.45,20,0,1,2,4,13,160759,9781908117076,English,"History, Archaeology"
"The Cup of Ghosts (Mathilde of Westminster Trilogy, Book 1) : Corruption, intrigue and murder in the court of Edward II",Paul Doherty,416,Headline Publishing Group,2006-05-01,9.99,2.51,3.98,570,4,41,126,188,211,354426,9780755328758,English,"History, Archaeology"
No Ordinary Men,Fritz Stern,160,"The New York Review of Books, Inc",2013-09-25,20.37,0.13,4.03,173,1,4,43,66,59,344650,9781590176818,English,"History, Archaeology"
The Little Bach Book : An eclectic Omnibus of Notable Details about the Life and Times of the esteemed and highly respected Johann Sebastian Bach,David Gordon,160,Lucky Valley Press,2017-06-14,19.58,3.12,4.6,20,0,0,2,4,14,426295,9780692878415,English,"History, Archaeology"
"Three ""Whys"" of the Russian Revolution",Richard Pipes,96,Random House USA Inc,1997-06-01,12.08,2.92,3.57,264,11,27,83,86,57,178101,9780679776468,English,"History, Archaeology"
Violence : Six Sideways Reflections,Slavoj Zizek,272,St Martin's Press,2008-07-22,17.78,2.72,3.88,4575,71,219,1050,2085,1150,184107,9780312427184,English,"History, Archaeology"
The Prime Ministers : Winner of the PARLIAMENTARY BOOK AWARDS 2020,Iain Dale,560,Hodder & Stoughton,2022-02-08,28.50,9.00,3.95,308,1,10,72,146,79,178394,9781529312140,English,"History, Archaeology"
The Book of the People : How to Read the Bible,A. N. Wilson,256,Atlantic Books,2015-05-07,13.71,2.29,3.62,138,7,12,38,50,31,809030,9781848879607,English,"History, Archaeology"
Women's Books of Hours in Medieval England,Charity Scott-Stokes,200,Boydell & Brewer Ltd,2012-03-15,20.47,1.62,3.5,4,0,1,1,1,1,1600757,9781843843009,English,"History, Archaeology"
Classical Budo : The Martial Arts and Ways of Japan,Donn F. Draeger,128,Shambhala Publications Inc,1990-10-01,21.62,5.38,4.26,105,1,4,15,32,53,446784,9780834802346,English,"History, Archaeology"
The Book of Deeds of Arms and of Chivalry : by Christine de Pizan,"Sumner Willard, Charity Cannon Willard",232,Pennsylvania State University Press,1999-05-01,37.99,6.01,3.54,536,45,60,138,145,148,831499,9780271018812,English,"History, Archaeology"
Bf 109D/E : Blitzkrieg 1939-40,"Malcolm V. Lowe, Gareth Hector, Jim Laurier",80,Bloomsbury Publishing PLC,2022-07-21,16.03,8.97,4.33,3,0,0,1,0,2,319334,9781472850317,English,"History, Archaeology"
