title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
"120 Great Fashion Designs, 1900-1950, CD-ROM and Book",Tom Tierney,48,Dover Publications Inc.,2002-01-11,20.33,5.67,4.12,8,0,0,2,3,3,666895,9780486995045,English,"Home, Garden"
"Gun Digest Book of Combat Handgunnery, 7th Edition",Massad Ayoob,288,Krause Publications,2020-10-29,26.00,4.99,5,6,0,0,0,0,6,653494,9781951115203,English,"Home, Garden"
The Modern Tailor Outfitter And Clothier - Vol I,A S Bridgland,298,Read Books,2010-05-07,32.73,16.17,5,5,0,0,0,0,5,587519,9781445505633,English,"Home, Garden"
Edges of Books,Steven K. Galbraith,70,RIT Cary Graphic Arts Press,2012-09-20,16.63,0.37,3.5,4,0,0,2,2,0,2736804,9781933360690,English,"Home, Garden"
The Worm Book : The Complete Guide to Gardening and Composting with Worms,"Loren Nancarrow, Janet Hogan Taylor",160,Random House USA Inc,1998-03-01,12.78,0.72,3.94,131,3,4,35,45,44,723609,9780898159943,English,"Home, Garden"
Thinking of You (A Bouquet in a Book) : Turn this Book into a Bouquet,Molly Hatch,24,ABRAMS,2018-07-09,16.44,2.06,4.67,6,0,0,1,0,5,531729,9781419729553,English,"Home, Garden"
The Little Book of Mushrooms : An Introduction to the Wonderful World of Mushrooms,Felicity Hart,128,Octopus Publishing Group,2022-07-14,8.10,1.90,3.5,2,0,0,1,1,0,30784,9781800073876,English,"Home, Garden"
Breitling: The History of a Great Brand of Watches 1884 to the Present,Benno Richter,176,Schiffer Publishing Ltd,2007-07-15,53.79,2.21,4,5,0,0,2,1,2,653214,9780764326707,English,"Home, Garden"
"More Is More Decor - A Handbook For Maximalists : Banish the beige, ditch the drab and throw the interiors rule book out of the window","Interiorcurve Limited, Siobhan Murphy",208,Bonnier Books Ltd,2022-08-18,28.47,2.03,4,3,0,0,1,1,1,448603,9781800782822,English,"Home, Garden"
The Gourd Book,Charles B. Heiser,256,University of Oklahoma Press,1993-09-15,22.08,2.87,4,1,0,0,0,1,0,1423337,9780806125725,English,"Home, Garden"
The RHS Book of Flower Poetry and Prose,Charles Elliott,144,Frances Lincoln Publishers Ltd,2021-03-09,15.71,0.79,4.08,52,0,2,12,18,20,1326866,9780711256507,English,"Home, Garden"
Books and Bookmen,Andrew Lang,196,Nabu Press,2012-04-13,22.56,1.43,3.2,10,0,1,6,3,0,9781248679784,9781248679784,English,"Home, Garden"
On Books and the Housing of Them,William Ewart Gladstone,48,Andesite Press,2017-08-19,12.62,0.38,3.43,44,1,9,12,14,8,9781375558648,9781375558648,English,"Home, Garden"
Window Treatments Idea Book: Design Ideas Fabric & Color Embellishing Ready,"Sue Sampson, Ellen Delucia",192,Taunton Press Inc,2006-09-19,23.55,0.45,3.56,16,0,2,6,5,3,1363317,9781561588190,English,"Home, Garden"
Photographica: The Fascination with Classic Cameras,Rudolf Hillebrand,160,Schiffer Publishing Ltd,2007-07-01,21.85,0.15,4,1,0,0,0,1,0,1003975,9780764311741,English,"Home, Garden"
"The Hand-Book Of Millinery - Comprised In A Series Of Lessons For The Formation Of Bonnets, Capotes, Turbans, Caps, Bows, Etc - To Which Is Appended A Treatise On Taste, And The Blending Of Colours - Also An Essay On Corset Making",Mary J. Howell,142,Read Books,2009-09-30,30.41,13.19,5,1,0,0,0,0,1,791208,9781444652659,English,"Home, Garden"
Photographica: The Fascination with Classic Cameras,Rudolf Hillebrand,160,Schiffer Publishing Ltd,2007-07-01,21.85,0.15,4,1,0,0,0,1,0,1003975,9780764311741,English,"Home, Garden"
No Reservations: Salon Games Book 2,Stephanie Julian,320,Headline Publishing Group,2013-09-03,9.27,2.23,4.03,654,9,25,143,237,240,1558149,9781472210838,English,"Home, Garden"
Antique Vienna Bronzes,Joseph Zobel,256,Schiffer Publishing Ltd,2008-01-15,83.54,2.46,4,2,0,0,1,0,1,1324997,9780764328497,English,"Home, Garden"
Rhinestones!: A Collectors Handbook and Price Guide,Nancy N. Schiffer,160,Schiffer Publishing Ltd,2003-04-21,18.93,1.57,4.25,4,0,0,0,3,1,1172926,9780764317514,English,"Home, Garden"
Holly Smith's Money Saving Book : Simple savings hacks for a happy life,Holly Smith,224,Ebury Publishing,2021-02-23,17.78,10.22,3.61,168,8,14,54,51,41,1459291,9781529108187,English,"Home, Garden"
"RHS The Little Book of Cacti & Succulents : The complete guide to choosing, growing and displaying",Mitchell Beazley,144,Octopus Publishing Group,2022-08-02,17.25,2.25,4,1,0,0,0,1,0,1474802,9781784728342,English,"Home, Garden"
Breverton's Complete Herbal : A Book Of Remarkable Plants And Their Uses,Terry Breverton,384,Rowman & Littlefield,2012-05-06,31.72,0.28,4.21,71,2,1,12,21,35,652981,9780762770229,English,"Home, Garden"
The Big Book of Small Tattoos - Vol.1 : 400 small original tattoos for women and men,Roberto Gemori,124,Roberto Gemori,2019-12-10,15.74,2.96,4,1,0,0,0,1,0,2025144,9788894205688,English,"Home, Garden"
The Tradescants' Orchard : The Mystery of a Seventeenth-Century Painted Fruit Book,"Barrie Juniper, Hanneke Grootenboer",128,Bodleian Library,2013-06-01,43.99,25.01,4.33,6,0,0,0,4,2,623135,9781851242771,English,"Home, Garden"
Window Treatments Idea Book: Design Ideas Fabric & Color Embellishing Ready,"Sue Sampson, Ellen Delucia",192,Taunton Press Inc,2006-09-19,23.55,0.45,3.56,16,0,2,6,5,3,1363317,9781561588190,English,"Home, Garden"
Window Treatments Idea Book: Design Ideas Fabric & Color Embellishing Ready,"Sue Sampson, Ellen Delucia",192,Taunton Press Inc,2006-09-19,23.55,0.45,3.56,16,0,2,6,5,3,1363317,9781561588190,English,"Home, Garden"
"Books in Chains, and Other Bibliographical Papers",William Blades,278,Nabu Press,2010-08-20,26.67,0.32,3.5,2,0,1,0,0,1,9781177525961,9781177525961,English,"Home, Garden"
"The Orchid : Royal Botanic Gardens, Kew","Lauren Gardiner, Phillip Cribb, ROYAL BOTANIC GARDENS KEW",264,Welbeck Publishing Group,2019-10-01,51.08,0.42,4.67,3,0,0,0,1,2,699203,9780233005492,English,"Home, Garden"
"My Sisters And Me : THE Hilarious, Feel-Good Book To Curl Up With",Lisa Dickenson,400,"Little, Brown Book Group",2019-03-05,7.95,2.05,3.84,176,2,15,40,71,48,561427,9780751563115,English,"Home, Garden"
Costume Party Book,Peg Couch,32,Design Originals,2012-05-01,10.13,0.87,3.8,5,0,1,0,3,1,1468478,9781574213447,English,"Home, Garden"
Perspectives on American Book History : Artifacts and Commentary,"Scott E. Casper, Joanne D. Chaison, Jeffrey D. Groves",480,UNIVERSITY OF MASSACHUSETTS PRESS,2002-05-15,33.26,3.74,3.81,21,0,2,5,9,5,1352036,9781558493179,English,"Home, Garden"
Anxious Gardener's Book of Answers,Teri Dunn Chace,220,Timber Press,2012-04-03,9.35,2.60,3.46,57,1,10,16,22,8,1369200,9781604692358,English,"Home, Garden"
Fashionable Clothing from the Sears Catalogs: Early 1930s,Tammy Ward,160,Schiffer Publishing Ltd,2007-07-01,34.16,1.34,3.5,2,0,1,0,0,1,838977,9780764326158,English,"Home, Garden"
Patrick Cameron: Dressing Long Hair Book 2,Patrick Cameron,80,Cengage Learning EMEA,2001-03-01,39.38,42.12,3,2,1,0,0,0,1,1278980,9781861526847,English,"Home, Garden"
