title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
Moomin Book Three : The Complete Tove Jansson Comic Strip,Tove Jansson,104,Drawn and Quarterly,2008-10-08,22.49,3.01,4.38,1253,4,13,141,446,649,44518,9781897299555,English,Humour
The Little Book of Drinking Games,Quentin Parker,96,Octopus Publishing Group,2015-10-01,7.04,1.96,3.41,37,1,9,10,8,9,44872,9781849535861,English,Humour
The Little Book of Irishisms : Know the Irish through our Words,"Aimee Alexander, Aimée Concannon",168,Deegan Communications,2021-03-04,10.48,5.52,4.42,19,0,0,5,1,13,42746,9781914437007,English,Humour
The Decline and Fall of Practically Everybody,"Will Cuppy, William  Steig",224,David R. Godine Publisher Inc,2008-12-30,14.59,0.40,3.94,2341,53,179,488,766,855,408930,9781567923773,English,Humour
Darth Vader and Friends,"Jeffrey Brown, Sang An",64,CHRONICLE BOOKS,2015-07-29,13.09,2.41,3.9,1902,22,112,522,621,625,17650,9781452138107,English,Humour
Star Trek Discovery: The Book of Grudge : Book's Cat from Star Trek Discovery,Robb Pearlman,96,Eaglemoss Publications Ltd,2022-01-04,16.98,0.52,4.5,44,0,1,6,7,30,544762,9781801260473,English,Humour
The Little Book of Bridgerton : The Unofficial Guide to the Hit TV Series,"Bonnier Books UK, Charlotte Browne",208,Bonnier Books Ltd,2021-06-10,11.09,1.41,3.4,181,9,16,71,64,21,1078872,9781788704700,English,Humour
A Ladybird Book About Donald Trump,"Jason Hazeley, Joel Morris",56,Penguin Books Ltd,2019-12-15,9.33,0.67,3.87,321,12,13,79,119,98,38032,9780241422724,English,Humour
"Footnotes from the World's Greatest Bookstores : True Tales and Lost Moments from Book Buyers, Booksellers, and Book Lovers","Bob Eckstein, Garrison Keillor",176,Random House USA Inc,2016-10-04,23.26,0.74,4.25,1063,13,18,156,383,493,58666,9780553459272,English,Humour
"I've Been Killing Slimes for 300 Years and Maxed Out My Level, Vol.4","Kisetsu Morita, Benio",224,"Little, Brown & Company",2019-04-23,13.07,1.93,4.26,246,2,4,38,87,115,140094,9781975382636,English,Humour
A Bathroom Book for People Not Pooping or Peeing But Using the Bathroom as an Escape,"Joe Pera, Joe Bennett",128,Forge,2021-11-16,16.22,0.28,4.36,890,8,26,97,263,496,51388,9781250782694,English,Humour
Bun B's Rap Coloring and Activity Book,Shea Serrano,48,ABRAMS,2013-09-17,12.32,2.18,4.44,129,1,2,13,36,77,68111,9781419710414,English,Humour
You're the Fucking Best Mini Notecards : 24 Mini Notecards for all Occasions,"Chronicle Books, Linus Boman",30,Chronicle Books,2019-03-05,13.25,4.25,5,1,0,0,0,0,1,1111520,9781452176529,English,Humour
