title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
The Sjogren's Book,Daniel J. Wallace,416,Oxford University Press Inc,2011-10-27,29.69,6.31,4.15,80,1,3,12,31,33,160889,9780199737222,English,Medical
I Don't Take Requests : WINNER OF THE ATTITUDE AWARD  'If you want to change your life...read this book.' TRACEY EMIN,"Tony Marnoch, Michael Hennegan",272,Hodder & Stoughton,2022-10-11,20.97,3.53,4.45,367,5,6,37,91,228,12083,9781529389449,English,Medical
CBT For Anxiety Disorders - A Practitioner Book,GGS Simos,268,John Wiley & Sons Inc,2013-05-20,39.77,3.18,3.5,2,0,0,1,1,0,757841,9780470975534,English,Medical
The Activity Year Book : A Week by Week Guide for Use in Elderly Day and Residential Care,"Anni Bowden, Nancy Lewthwaite",256,Jessica Kingsley Publishers,2009-04-15,39.84,20.26,4.62,8,0,0,1,1,6,337363,9781843109631,English,Medical
"Asperger Syndrome, the Universe and Everything : Kenneth's Book",Kenneth Hall,112,Jessica Kingsley Publishers,2000-12-15,13.47,5.48,3.81,145,3,7,44,51,40,193316,9781853029301,English,Medical
The Really Good Fun Cartoon Book of NLP : A simple and graphic(al) explanation of the life toolbox that is NLP,Philip Miller,160,Crown House Publishing,2018-04-25,14.70,15.80,3.75,91,1,7,29,31,23,203527,9781845901158,English,Medical
"Altered States : Minds, Drugs and Culture",Ben Sessa,64,Wooden Books,2021-03-01,6.79,0.71,3.4,10,0,1,5,3,1,713459,9781904263852,English,Medical
The Human Body : The Facts Book for Future Doctors - Biology Books for Kids Revised Edition Children's Biology Books,Baby Professor,52,Baby Professor,2019-05-15,10.98,4.92,4.19,16,0,0,4,5,7,657971,9781541968264,English,Medical
Coasting in the Countertransference : Conflicts of Self Interest between Analyst and Patient,Irwin Hirsch,240,Taylor & Francis Ltd,2008-02-12,46.33,1.17,4.27,15,0,0,2,7,6,400822,9780881634808,English,Medical
"Cognitive-Behavioral Treatment for Adult Survivors of Childhood Trauma : Imagery, Rescripting and Reprocessing","Mervin R. Smucker, Constance V. Dancu",256,Jason Aronson Inc. Publishers,2005-08-01,93.95,26.95,4.33,6,0,0,1,2,3,539929,9780765702135,English,Medical
Understanding and Treating Self-Injurious Behavior in Autism : A Multi-Disciplinary Perspective,"Stephen M. Edelson, Jane Botsford Johnson, Margaret L. Bauman, Paul Millard Hardy, Lucy Jane Miller, V. Mark Durand, June Groden, Mary Coleman, Manuel Casanova, Emily L. Casanova",304,Jessica Kingsley Publishers,2016-05-21,33.98,8.09,4.2,5,0,0,1,2,2,639321,9781849057417,English,Medical
Helping Parents with Challenging Children: Parent Workbook : Positive Family Intervention,"V Mark Durand, Meme Hieneman",144,Oxford University Press Inc,2008-04-10,37.80,10.20,4.5,2,0,0,0,1,1,1241167,9780195332995,English,Medical
Guide To Evidence-Based Physical Therapist Practice,Dianne V. Jewell,470,"Jones and Bartlett Publishers, Inc",2017-08-29,77.27,18.73,5,1,0,0,0,0,1,1047923,9781284104325,English,Medical
The Chakras and the Human Energy Fields,"Shafica Karagulla, Dora van Gelder Kunz",243,"Quest Books,U.S.",1989-04-01,20.37,2.63,4.16,25,0,3,2,8,12,787509,9780835606417,English,Medical
101 Plus Size Women's Clothing Tips,Lynda Moultry,104,LIFETIPS.COM,2006-12-30,9.78,1.22,3,6,2,1,0,1,2,1030122,9781602750012,English,Medical
Read Two Books & Lets Talk Next Week - Using Bibliotherapy in Clinical Practice,J Maidman Joshua,432,John Wiley & Sons Inc,2000-07-04,66.51,13.49,3.5,8,0,1,3,3,1,2070581,9780471375654,English,Medical
"Braunwald's Heart Disease, 2 Vol Set : A Textbook of Cardiovascular Medicine","Peter Libby, Robert O. Bonow, Douglas L. Mann, Gordon F. Tomaselli, Deepak Bhatt, Scott D. Solomon, Eugene Braunwald",2034,Elsevier - Health Sciences Division,2021-11-22,258.35,20.15,4.5,72,1,1,3,23,44,1098881,9780323722193,English,Medical
"Zoonoses - Infectious Diseases Transmissible from Animals to Humans, Fourth Edition",R Bauerfeind,544,American Society for Microbiology,2016-01-07,92.79,11.71,4,1,0,0,0,1,0,941899,9781555819255,English,Medical
The Essential Book of Traditional Chinese Medicine : Clinical Practice,"Yanchi Liu, Tingyu Fang, Laidi Chen, Kathleen Vian, Peter Eckman, Barbara Gastel",479,Columbia University Press,1995-12-28,47.48,3.52,4.67,3,0,0,0,1,2,1164250,9780231103596,English,Medical
The Chiropractor's Self-Help Back and Body Book : Your Complete Guide to Relieving Common Aches and Pains at Home and on the Job,Samuel Homola,320,"Hunter House Inc.,U.S.",2003-02-19,23.16,0.84,4,5,0,0,1,3,1,1063343,9780897933766,English,Medical
Art Therapy for Psychosis : Theory and Practice,Katherine Killick,210,Taylor & Francis Ltd,2017-03-03,49.39,3.11,4,3,0,0,1,1,1,484788,9781138792104,English,Medical
The Science of Bones 3rd Grade Textbook Children's Biology Books,Baby Professor,42,Baby Professor,2017-02-15,12.68,3.52,4,1,0,0,0,1,0,2198747,9781541905306,English,Medical
You Are Special Too : A Book for Brothers and Sisters of Children Diagnosed with Asperger Syndrome,"Josie Santomauro, Carla Marino",32,Jessica Kingsley Publishers,2009-03-15,13.20,0.30,4.5,4,0,0,1,0,3,441584,9781843106562,English,Medical
Type 2 Diabetes Cookbook and Action Plan & Blood Pressure Solution - 2 Books in 1 Bundle : Ultimate Beginner's Book Collection to Naturally Lower Your Blood Pressure & Guide To Reverse Diabetes,"Jennifer Louissa, Louise Jiannes, Hmw Publishing",272,A&G DIRECT INC.,2018-05-15,20.69,4.31,4,1,0,0,0,1,0,9781774350232,9781774350232,English,Medical
Failure to Launch : Guiding Clinicians to Successfully Motivate the Long-Dependent Young Adult,"Michael Devine, Lawrence V. Tucker",186,Jason Aronson Inc. Publishers,2013-06-26,77.29,27.21,3.9,10,1,1,2,0,6,2459651,9780765709554,English,Medical
