title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
The Little Book of Life and Death,Douglas E. Harding,160,Shollond Trust,2009-07-14,18.56,0.14,4.06,31,1,1,9,4,16,282991,9780955451218,English,"Mind, Body, Spirit"
The Little Book of Big Change : The No-Willpower Approach to Breaking Any Habit,Amy Johnson,200,New Harbinger Publications,2016-03-31,11.73,4.27,3.84,919,28,83,220,261,327,54092,9781626252301,English,"Mind, Body, Spirit"
Psychosynthesis Made Easy - A psychospiritual psychology for today,Stephanie Sorrell,90,John Hunt Publishing,2011-06-16,6.38,0.12,5,5,0,0,0,0,5,163136,9781846945328,English,"Mind, Body, Spirit"
The Book of My Dreams,,224,Quercus Publishing,2018-10-04,23.90,6.60,3.71,14,0,0,7,4,3,299394,9781787474871,English,"Mind, Body, Spirit"
The Little Book of Self-Care for Pisces : Simple Ways to Refresh and Restore-According to the Stars,Constance Stellas,160,Adams Media Corporation,2019-01-10,11.70,3.30,3.8,137,4,7,42,44,40,170225,9781507209868,English,"Mind, Body, Spirit"
Anna and the Black Knight : Incorporating Anna's Book,Fynn,320,HarperCollins Publishers,2005-04-04,10.16,1.34,4.16,292,4,7,62,85,134,159129,9780007203000,English,"Mind, Body, Spirit"
"The Mediums' Book : containing special teachings from the spirits on manifestations, means to communicate with the invisible world, development of mediumnity - with an alphabetical index","Allan Kardec, Anna Blackwell",318,Discovery Publisher,2019-04-16,21.65,0.15,4.37,598,11,21,75,121,370,616929,9781788944625,English,"Mind, Body, Spirit"
"A Field Guide to Demons, Fairies, Fallen Angels and Other Subversive Spirits","K. Carol Mack, Dinah Mack",296,Henry Holt & Company Inc,1999-10-15,19.58,0.41,3.81,2001,66,164,501,623,647,203457,9780805062700,English,"Mind, Body, Spirit"
The Benham Book of Palmistry : The Essential Edition,William G. Benham,384,Red Wheel/Weiser,2006-04-30,24.33,2.49,4.19,48,2,1,4,20,21,414036,9781564148551,English,"Mind, Body, Spirit"
"The Magician's Death (Hugh Corbett Mysteries, Book 14) : A twisting medieval mystery of intrigue and suspense",Paul Doherty,384,Headline Publishing Group,2004-12-06,10.12,2.38,4.25,808,5,15,121,297,370,333210,9780755307753,English,"Mind, Body, Spirit"
"The Book of Secrets of Albertus Magnus : Of the Virtues of Herbs, Stones, and Certain Beasts, Also a Book of the Marvels of the World","Michael R. Best, Frank H. Brightman",176,Red Wheel/Weiser,2000-09-01,16.97,3.03,3.85,41,1,3,9,16,12,51738,9780877289418,English,"Mind, Body, Spirit"
Messiah'S Handbook : Reminders for the Advanced Soul the Lost Book from Illusions,Richard Bach,216,Rainbow Ridge Publishing,2020-04-25,11.76,2.24,4.26,2241,23,81,344,633,1160,203434,9781937907648,English,"Mind, Body, Spirit"
Ra Material: An Ancient Astronaut Speaks (Book One),"Elkins, Rueckert, & McCarty",240,Donning Company Publishers,2021-01-29,18.98,1.12,4.4,920,21,24,94,208,573,50459,9780898652604,English,"Mind, Body, Spirit"
"The Book of Ichigo Ichie : The Art of Making the Most of Every Moment, the Japanese Way","Francesc Miralles, Hector Garcia",208,Quercus Publishing,2020-06-23,14.72,3.78,3.92,4428,52,241,1086,1695,1354,12072,9781529401295,English,"Mind, Body, Spirit"
Book 4,Aleister Crowley,136,Red Wheel/Weiser,1980-09-01,16.04,3.46,4.08,1160,18,71,205,374,492,156361,9780877285137,English,"Mind, Body, Spirit"
The Book of Mirdad : The strange story of a monastery which was once called The Ark,Mikhail Naimy,192,Watkins Media Limited,2016-07-25,10.81,1.69,4.31,2176,62,98,237,479,1300,1158,9781907486401,English,"Mind, Body, Spirit"
The Book of English Magic,"Richard Heygate, Philip Carr-Gomm",576,Hodder & Stoughton,2010-04-01,17.54,3.46,3.9,1040,17,63,240,403,317,23581,9781848540415,English,"Mind, Body, Spirit"
"The Book of Goetia, or the Lesser Key of Solomon the King [Clavicula Salomonis]. Introductory essay by Aleister Crowley.",Aleister Crowley,104,Martino Fine Books,2010-10-28,11.94,5.26,3.98,1981,45,111,448,614,763,58298,9781578989997,English,"Mind, Body, Spirit"
Herbal Body Book : The Herbal Way to Natural Beauty & Health for Men & Women,Jeanne Rose,400,"North Atlantic Books,U.S.",2000-04-01,20.19,0.31,4.1,87,1,4,17,28,37,716634,9781583940044,English,"Mind, Body, Spirit"
Mindfulness : Live in the Moment and Enjoy Life to the Full,"Gill Hasson, National Trust Books",96,HarperCollins Publishers,2019-09-03,8.95,0.05,4.09,32,0,1,8,10,13,573639,9781911358763,English,"Mind, Body, Spirit"
6th and 7th Books of Moses,Lushena Books,190,Lushena Books,2011-10-20,12.24,0.76,3.98,145,9,15,21,25,75,466216,9781930097742,English,"Mind, Body, Spirit"
Egyptian Book of the Dead,Ea Wallis Budge,208,SIRIUS ENTERTAINMENT,2021-11-20,13.98,0.02,3.9,5156,142,355,1216,1609,1834,4387,9781398809628,English,"Mind, Body, Spirit"
"The Little Book of Meditation : 10 minutes a day to more relaxation, energy and creativity",Dr Patrizia Collard,96,Octopus Publishing Group,2019-05-07,7.62,1.88,4.06,86,1,6,15,29,35,134757,9781856753982,English,"Mind, Body, Spirit"
Pandora's Book : 401 Philosophical Questions to Help You Lose Your Mind (with answers),David Birch,304,John Hunt Publishing,2021-07-01,18.38,2.62,4,5,0,1,0,2,2,986447,9781789045710,English,"Mind, Body, Spirit"
Shakkai : Women of the Sacred Garden,Lynn V Andrews,320,Harper Perennial,1993-09-01,17.04,0.96,4.36,227,1,6,23,77,120,1093295,9780060921798,English,"Mind, Body, Spirit"
Just Who Will You Be? : Big Question. Little Book. Answer Within.,Maria Shriver,112,HYPERION,2008-07-03,17.36,4.64,3.52,1367,48,166,473,381,299,414180,9781401323189,English,"Mind, Body, Spirit"
