title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
Garfield Easy as Pie : His 69th Book,Jim Davis,96,Random House USA Inc,2020-07-14,14.18,1.32,4.45,220,3,4,27,44,142,350186,9780593156407,English,"Natural, History"
Floral Fantasies Stained Glass Coloring Book,Maggie Swanson,32,Dover Publications Inc.,2013-08-30,8.48,0.52,3.67,6,1,0,0,4,1,861810,9780486498072,English,"Natural, History"
Dinopedia : A Brief Compendium of Dinosaur Lore,Darren Naish,216,Princeton University Press,2021-11-30,14.13,2.86,4.37,52,0,0,7,19,26,266207,9780691212029,English,"Natural, History"
Garfield Belly Laughs : His 68th Book,Jim Davis,96,Random House USA Inc,2020-01-06,14.18,2.32,4.51,277,4,0,32,56,185,349729,9781984817778,English,"Natural, History"
Centaur : Shortlisted For The William Hill Sports Book of the Year 2017,"Declan Murphy, Ami Rao",336,Transworld Publishers Ltd,2018-03-08,12.22,0.28,4.09,183,3,13,31,54,82,347646,9781784162160,English,"Natural, History"
The Penguin Book of Outer Space Exploration : NASA and the Incredible Story of Human Spaceflight,John Logsdon,384,Penguin Books Ltd,2019-02-28,15.25,0.75,4.18,71,0,2,11,30,28,349033,9780143129950,English,"Natural, History"
The Coldest Tundra! Arctic & Antarctica Animal Wildlife Children's Polar Regions Books,Baby Professor,64,Baby Professor,2017-12-01,14.03,6.27,3.33,3,1,0,0,1,1,37585,9781541917231,English,"Natural, History"
The lavender book,Margaret Roberts,144,Briza,2012-03-15,23.25,0.79,5,1,0,0,0,0,1,1022879,9781875093380,English,"Natural, History"
Treepedia : A Brief Compendium of Arboreal Lore,"Joan Maloof, Maren Westfall",152,Princeton University Press,2021-09-14,13.86,3.13,4.21,39,0,1,7,14,17,1105094,9780691208756,English,"Natural, History"
"The Cat Who Saw Red (The Cat Who... Mysteries, Book 4) : An enchanting feline mystery for cat lovers everywhere",Lilian Jackson Braun,192,Headline Publishing Group,1990-03-22,8.44,4.06,3.96,10734,44,329,2958,4037,3366,424367,9780747233145,English,"Natural, History"
The Cat Lover's Quotation Book : A Collection of Feline Favorites,Jo Brielyn,90,"Hatherleigh Press,U.S.",2016-03-31,12.48,1.02,4,12,0,1,3,3,5,1587065,9781578266234,English,"Natural, History"
"Kinship: Belonging in a World of Relations, Vol. 2 - Place","Gavin Van Horn, Robin Wall Kimmerer, John Hausdoerffer",204,Center for Humans and Nature,2021-11-18,16.48,5.52,4.54,28,0,1,0,10,17,1208486,9781736862513,English,"Natural, History"
The Horses Return : The Horses Know Book 3,Lynn Mann,304,Coxstone Press,2019-08-13,17.88,1.22,4.63,193,0,2,14,38,139,693090,9781916172128,English,"Natural, History"
The Bull Terrier (A Vintage Dog Books Breed Classic),Williams Haynes,120,Read Books,2006-02-21,38.80,7.50,3,1,0,0,1,0,0,3732316,9781846640834,English,"Natural, History"
Will You Hold My Story? Coloring Book,"Kathy Joy, Brianna Osaseri, Capture Books",34,Kathy Joy Hoffner,2020-12-04,8.84,1.76,4.29,7,0,0,2,1,4,9781951084318,9781951084318,English,"Natural, History"
K-9 Nation Biscuit Book : Baking for Your Best Friend,Klecko,130,"Minnesota Historical Society Press,U.S.",2009-06-15,12.15,5.35,4.29,7,0,0,2,1,4,1694756,9780873516488,English,"Natural, History"
A Vagabond for Beauty : A John Murray Journey,W L Rusho,304,John Murray Press,2021-07-08,12.08,3.92,4.15,506,7,12,105,158,224,1459689,9781529376104,English,"Natural, History"
Paradise of Animals: Adult Coloring Book,Fujiyoshi Brothers,80,"Genko-Sha Co., Ltd.",2016-09-13,13.85,0.15,4,1,0,0,0,1,0,2009276,9784768307250,English,"Natural, History"
Nature Activity Book for Little Ones : 100+ Activities for Everyday Outdoor Fun Ages 2-5,Samantha Lewis,144,Random House USA Inc,2022-04-19,13.57,0.93,4.3,10,0,0,1,5,4,1859612,9780593435441,English,"Natural, History"
Who Lives in A Tropical Rainforest? Nature for Kids Children's Nature Books,Baby Professor,64,Baby Professor,2017-05-15,14.03,6.17,2.5,2,1,0,0,1,0,9781541938243,9781541938243,English,"Natural, History"
Sound Of Hooves! - Horses Coloring Book Grayscale Edition Grayscale Coloring Books,Coloring Therapist,106,Coloring Therapist,2017-01-01,15.94,1.06,2,1,0,1,0,0,0,3533191,9781541910157,English,"Natural, History"
Who Lives in A Tropical Rainforest? Nature for Kids Children's Nature Books,Baby Professor,64,Baby Professor,2017-05-15,14.03,6.17,2.5,2,1,0,0,1,0,9781541938243,9781541938243,English,"Natural, History"
Weather Folk-Lore of the Sea and Superstitions of the Scottish Fishermen,Wyrd Books,50,Pierides Press,2022-10-21,28.09,8.61,4,3,0,0,1,1,1,9781528772716,9781528772716,English,"Natural, History"
Bull Terriers (A Vintage Dog Books Breed Classic - Bull Terrier),Major Count V.C. Hollender,120,Read Books,2005-07-11,32.20,16.40,5,1,0,0,0,0,1,3776762,9781905124749,English,"Natural, History"
Who Lives in A Tropical Rainforest? Nature for Kids Children's Nature Books,Baby Professor,64,Baby Professor,2017-05-15,14.03,6.17,2.5,2,1,0,0,1,0,9781541938243,9781541938243,English,"Natural, History"
"You're a Good Friend, Capybara",Chronicle Books,80,CHRONICLE BOOKS,2021-11-25,12.76,3.24,4.28,18,0,2,2,3,11,9781797210575,9781797210575,English,"Natural, History"
Water,Applewood Books,32,Applewood Books,2016-08-16,9.20,1.80,5,1,0,0,0,0,1,9781429094146,9781429094146,English,"Natural, History"
Pliny's natural history in thirty-seven books - Scholar's Choice Edition,"Philemon Holland, The Elder Pliny, Wernerian Club",272,Scholar's Choice,2015-02-12,26.54,0.45,4.09,112,2,7,20,33,50,3302281,9781294988335,English,"Natural, History"
Terriers - An Illustrated Guide (a Vintage Dog Books Breed Classic),Darley Matheson,284,Read Books,2005-08-31,27.48,3.92,5,2,0,0,0,0,2,3769928,9781905124893,English,"Natural, History"
Fire,Applewood Books,32,Applewood Books,2016-08-16,9.20,1.80,5,1,0,0,0,0,1,9781429094115,9781429094115,English,"Natural, History"
Air,Applewood Books,32,Applewood Books,2016-08-16,9.62,1.38,3,1,0,0,1,0,0,9781429094122,9781429094122,English,"Natural, History"
Bull Terriers (A Vintage Dog Books Breed Classic - Bull Terrier),Major Count V.C. Hollender,120,Read Books,2005-07-11,32.20,16.40,5,1,0,0,0,0,1,3776762,9781905124749,English,"Natural, History"
What are Amphibians? Animal Book Age 8 Children's Animal Books,Baby Professor,64,Baby Professor,2017-09-15,14.03,6.17,4.25,4,0,0,1,1,2,9781541914759,9781541914759,English,"Natural, History"
Weather Folk-Lore of the Sea and Superstitions of the Scottish Fishermen,Wyrd Books,50,Pierides Press,2022-10-21,28.09,8.61,4,3,0,0,1,1,1,9781528772716,9781528772716,English,"Natural, History"
Sound Of Hooves! - Horses Coloring Book Grayscale Edition Grayscale Coloring Books,Coloring Therapist,106,Coloring Therapist,2017-01-01,15.94,1.06,2,1,0,1,0,0,0,3533191,9781541910157,English,"Natural, History"
The Airedale Terrier (A Vintage Dog Books Breed Classic),Williams Haynes,120,Read Books,2006-01-13,14.12,7.28,2.5,2,0,1,1,0,0,9781846640643,9781846640643,English,"Natural, History"
The Yorkshire Terrier (A Vintage Dog Books Breed Classic),S. Jessop,52,Read Books,2005-10-31,18.41,6.69,5,1,0,0,0,0,1,9781846649998,9781846649998,English,"Natural, History"
Ecosystem Facts That You Should Know - The Savanna and Tundra Edition - Nature Picture Books Children's Nature Books,Baby Professor,64,Baby Professor,2017-04-15,14.03,6.17,4,1,0,0,0,1,0,9781541940260,9781541940260,English,"Natural, History"
Water,Applewood Books,32,Applewood Books,2016-08-16,9.20,1.80,5,1,0,0,0,0,1,9781429094146,9781429094146,English,"Natural, History"
"Good Dog : True Stories of Love, Loss, and Loyalty","Editors Of Garden And Gun, David Dibenedetto",336,Harper Wave,2014-10-21,27.32,0.18,4.03,393,2,12,95,147,137,1308972,9780062242358,English,"Natural, History"
The Little Book of Scottish Beasties,Tim Kirby,96,Birlinn General,2019-12-12,5.63,0.87,3.44,9,1,0,3,4,1,1582404,9781780276274,English,"Natural, History"
The Little Instruction Book for Dogs,"Kate Freeman, Danny Cameron",96,Octopus Publishing Group,2019-03-05,9.30,0.70,3.89,9,0,0,3,4,2,1762849,9781786855336,English,"Natural, History"
The Collie (A Vintage Dog Books Breed Classic),Dr. O.P. Bennett,384,Read Books,2005-11-04,35.36,7.04,4.5,2,0,0,0,1,1,9781846640124,9781846640124,English,"Natural, History"
The Great Climate Change Debate : Karoly v Happer,Andy May,300,Andy May Petrophysicist,2022-03-01,21.32,21.78,5,1,0,0,0,0,1,795698,9781639446766,English,"Natural, History"
Spirit : A book of happiness for horse lovers,Anouska Jones,160,Exisle Publishing,2019-03-12,14.84,1.16,4.44,9,0,0,2,1,6,756724,9781921966958,English,"Natural, History"
A Scone To Die For : The Oxford Tearoom Mysteries - Book 1,H y Hanna,320,H.Y. Hanna - Wisheart Press,2016-01-18,15.58,0.82,3.99,6038,75,256,1377,2269,2061,689358,9780994292490,English,"Natural, History"
Muffins and Mourning Tea : The Oxford Tearoom Mysteries - Book 5,H y Hanna,344,H.Y. Hanna - Wisheart Press,2016-09-23,15.92,0.98,4.3,1746,4,25,242,639,836,1101050,9780995401204,English,"Natural, History"
Astronomy For Beginners : A Young Stargazers Guide To The Universe - Children Explore Outer Space Books,Baby Professor,42,Baby Professor,2016-04-01,12.68,3.52,5,1,0,0,0,0,1,1592532,9781683056058,English,"Natural, History"
The Book On Pekingese (A Vintage Dog Books Breed Classic),Dorothy Slater,128,Read Books,2007-04-03,21.75,10.45,4,1,0,0,0,1,0,9781406795622,9781406795622,English,"Natural, History"
Ecosystem Facts That You Should Know - The Desert and Grasslands Edition - Nature Picture Books Children's Nature Books,Baby Professor,64,Baby Professor,2017-03-15,14.03,6.17,5,2,0,0,0,0,2,3553226,9781541940253,English,"Natural, History"
The Bull Terrier (A Vintage Dog Books Breed Classic),Williams Haynes,120,Read Books,2006-03-07,27.32,9.68,3,1,0,0,1,0,0,3732315,9781846640827,English,"Natural, History"
Ecosystem Facts That You Should Know - The Desert and Grasslands Edition - Nature Picture Books Children's Nature Books,Baby Professor,64,Baby Professor,2017-03-15,14.03,6.17,5,2,0,0,0,0,2,3553226,9781541940253,English,"Natural, History"
"Kinship: Belonging in a World of Relations, Vol. 1 - Planet","Gavin Van Horn, Robin Wall Kimmerer, John Hausdoerffer",180,Center for Humans and Nature,2021-11-18,16.35,5.65,4.53,73,0,0,4,26,43,1370114,9781736862506,English,"Natural, History"
Four Puddings and a Funeral : The Oxford Tearoom Mysteries - Book 6,H y Hanna,340,H.Y. Hanna - Wisheart Press,2017-03-31,15.85,0.85,4.37,1567,6,22,174,542,823,20523,9780995401266,English,"Natural, History"
As The Stars Fall : A Book for Dog Lovers,Steve N Lee,254,Blue Zoo,2020-09-20,15.69,0.51,4.36,1205,20,45,134,294,712,744058,9780955652554,English,"Natural, History"
How to Draw Dogs & Cats from Simple Templates : The Drawing Book for Pet Lovers,Christopher Hart,144,Sixth & Spring Books,2019-04-25,20.78,0.22,3.56,9,2,0,2,1,4,750100,9781640210318,English,"Natural, History"
Dr. Eleanor`s Book of Common Spiders,"Christopher M. Buddle, Eleanor Spicer Rice, Christopher Buddle",80,The University of Chicago Press,2018-03-06,18.14,2.86,4.36,25,0,1,2,9,13,1414559,9780226332253,English,"Natural, History"
The Earth's Climate Zones Meteorology Books for Kids Grade 5 Children's Weather Books,Baby Professor,74,Baby Professor,2021-01-11,24.66,5.74,1,1,1,0,0,0,0,9781541980457,9781541980457,English,"Natural, History"
