title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
The Times Cryptic Crossword Book 12 : 80 World-Famous Crossword Puzzles,"The Times Mind Games, Richard Browne",192,HarperCollins Publishers,2008-04-28,8.44,0.56,3,1,0,0,1,0,0,145721,9780007232895,English,"Personal, Development"
Everything Is F*cked : A Book About Hope,Mark Manson,288,HarperCollins Publishers Inc,2019-09-24,18.22,3.28,3.71,68035,2422,6699,17878,22210,18826,4217,9780062888464,English,"Personal, Development"
The Book of Mistakes : 9 Secrets to Creating a Successful Future,Skip Prichard,192,"Little, Brown & Company",2019-03-28,12.06,4.94,4.17,597,8,26,102,179,282,446969,9781478970910,English,"Personal, Development"
Get Out of Your Mind and Into Your Life for Teens : A Guide to Living an Extraordinary Life,Joseph Ciarrochi,136,New Harbinger Publications,2012-09-06,15.08,3.42,3.87,149,3,13,31,56,46,8547,9781608821938,English,"Personal, Development"
"Sara, Book 2 : Solomon's Fine Featherless Friends","Esther Hicks, Jerry Hicks",256,Hay House Inc,2008-07-31,14.74,1.26,4.55,729,5,18,62,132,512,27392,9781401911591,English,"Personal, Development"
The European Union: A Citizen's Guide,Chris Bickerton,304,Penguin Books Ltd,2016-09-01,10.96,1.54,3.65,268,9,20,81,104,54,65594,9780141983097,English,"Personal, Development"
"The Memory Book : The Classic Guide to Improving Your Memory at Work, at School, and at Play","Harry Lorayne, Jerry Lucas",240,Random House USA Inc,1997-05-01,14.65,3.35,3.97,2206,37,113,528,730,798,58595,9780345410023,English,"Personal, Development"
"The Smartest Investment Book You'll Ever Read : The Proven Way to Beat the ""Pros"" and Take Control of Your Financial Future",Daniel R. Solin,192,Penguin Putnam Inc,2009-12-23,14.62,2.38,3.69,927,29,72,271,342,213,177911,9780399535994,English,"Personal, Development"
The Big Activity Book for Anxious People,"Jordan Reid, Erin Williams",160,Penguin Putnam Inc,2019-05-07,16.37,0.13,3.79,118,4,13,25,38,38,89219,9780525538066,English,"Personal, Development"
"Overcoming Anger and Irritability, 2nd Edition : A self-help guide using cognitive behavioural techniques",Dr William Davies,400,"Little, Brown Book Group",2020-12-29,13.02,2.98,3.6,241,13,23,74,69,62,41369,9781472120229,English,"Personal, Development"
