title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
The Book of Yokai : Mysterious Creatures of Japanese Folklore,"Michael Dylan Foster, Shinonome Kijin",336,University of California Press,2015-01-14,27.61,2.39,4.02,1093,10,30,238,470,345,7390,9780520271029,English,"Poetry, Drama"
The Book of Baruch by the Gnostic Justin,"Geoffrey Hill, Kenneth Haynes",160,Oxford University Press,2019-06-20,31.57,0.43,4.5,16,0,0,0,8,8,471029,9780198829522,English,"Poetry, Drama"
"The Universe According to G. K. Chesterton : A Dictionary of the Mad, Mundane and Metaphysical","G. K. Chesterton, Dale Ahlquist",144,Dover Publications Inc.,2011-09-30,8.03,0.47,4.36,33,1,1,2,10,19,236175,9780486481159,English,"Poetry, Drama"
Books for Living : a reader's guide to life,Will Schwalbe,304,John Murray Press,2018-01-11,US$10.26,US$2.08,3.86,4752,66,249,1223,1958,1256,14838,9781444790801,English,"Poetry, Drama"
How Should One Read a Book?,"Virginia Woolf, Sheila Heti",64,Orion Publishing Co,2020-10-16,8.37,1.63,4.04,1143,5,45,238,471,384,31898,9781786277527,English,"Poetry, Drama"
100 Must-read Life-Changing Books,Nick Rennison,160,Bloomsbury Publishing PLC,2009-02-01,13.60,3.40,3.53,57,2,3,25,17,10,721809,9780713688726,English,"Poetry, Drama"
Benedictus : A Book Of Blessings - an inspiring and comforting and deeply touching collection of blessings for every moment in life from international bestselling author John O'Donohue,John O'Donohue,240,Transworld Publishers Ltd,2010-05-20,US$18.35,US$5.38,4.63,284,1,2,19,57,205,1713,9780593058626,English,"Poetry, Drama"
The Forward Book of Poetry 2018,"Various Poets, Emily Berry, Michael Longley, Sinead Morrissey, Ocean Vuong, Ishion Hutchinson, Simon Armitage, Daljit Nagra, Tara Bergin",176,Faber & Faber,2017-09-07,11.31,1.19,3.62,71,2,7,20,29,13,394042,9780571340774,English,"Poetry, Drama"
The Penguin Book of Exorcisms,Joseph P. Laycock,336,Penguin Books Ltd,2021-09-30,17.20,1.30,3.43,114,1,13,50,36,14,61832,9780143135470,English,"Poetry, Drama"
100 Prized Poems : Twenty-five years of the Forward Books,"William Sieghart, Simon Armitage, Moniza Alvi, Carol Ann Duffy, Thom Gunn, Tony Harrison, Seamus Heaney, Ted Hughes, Jackie Kay, Alice Oswald",224,Faber & Faber,2016-09-15,12.11,0.39,3.81,73,0,7,17,32,17,297636,9780571333172,English,"Poetry, Drama"
