title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
"The Little Capoeira Book, Revised Edition","Nestor Capoeira, Alex Ladd",240,"North Atlantic Books,U.S.",2007-12-26,19.33,1.67,4.07,245,1,5,47,116,76,295817,9781583941980,English,Reference
The Penguin Book of Puzzles,Dr Gareth Moore,304,Penguin Books Ltd,2018-06-26,16.58,0.42,3.4,15,2,2,2,6,3,21374,9780718188627,English,Reference
A City Is Not a Computer : Other Urban Intelligences,Shannon Mattern,200,Princeton University Press,2021-08-10,19.35,0.64,4.04,68,1,1,12,34,20,394299,9780691208053,English,Reference
"Men, Love & Birth : The book about being present at birth that your pregnant lover wants you to read","Mark Harris, Denis Walsh",192,Pinter & Martin Ltd.,2015-09-24,11.46,1.04,3.77,166,3,13,48,57,45,101533,9781780662251,English,Reference
Who's Who Omnibus Vol. 2,"Brian Bolland, George Pérez, Arthur Adams, Mike Mignola, Ty Templeton",1216,Dc Comics,2022-12-13,140.84,23.66,3,1,0,0,1,0,0,487482,9781779515193,English,Reference
Memoirs Of Montparnasse,John Glassco,296,"The New York Review of Books, Inc",2007-05-29,16.36,4.64,3.85,505,8,26,133,204,134,287024,9781590171844,English,Reference
The Library Book,Susan Orlean,336,Atlantic Books,2019-01-03,16.93,7.57,3.9,105313,2193,6061,23262,42635,31162,101088,9781782392255,English,Reference
Layer of Protection Analysis - Simplified Process Risk Assessment (A CCPS Concept Book),Ccps,292,American Institute of Chemical Engineers,2001-10-15,181.83,78.87,4.33,12,0,1,0,5,6,528647,9780816908110,English,Reference
Home Book of Taxidermy and Tanning,Gerald J. Grantz,160,Stackpole Books,1985-02-01,18.24,10.66,3.72,25,0,3,7,9,6,213555,9780811722599,English,Reference
The Little Book of Glasgow,Geoff Holder,192,The History Press Ltd,2011-12-01,14.36,5.64,4.2,10,0,0,1,6,3,1332577,9780752460048,English,Reference
"Chemical Oscillations, Waves, and Turbulence",Y. Kuramoto,164,Dover Publications Inc.,2003-08-05,18.38,1.62,4.5,2,0,0,0,1,1,861743,9780486428819,English,Reference
"Ancestral Grimoire : Connect with the Wisdom of the Ancestors Through Tarot, Oracles, and Magic Create Your Personal Book of Shadows","Nancy Hendrickson, Benebell Wen",240,Red Wheel/Weiser,2022-09-25,17.71,1.29,4.2,10,1,0,0,4,5,34822,9781578637775,English,Reference
Wonderfully Wordless : The 500 Most Recommended Graphic Novels and Picture Books,William Patrick Martin,334,ROWMAN & LITTLEFIELD,2015-12-15,46.72,2.78,4.18,11,0,1,1,4,5,1192615,9781442254770,English,Reference
