title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
The Book of Life,Jiddu Krishnamurti,400,HarperCollins Publishers,1995-09-25,18.22,1.78,4.34,1342,25,43,155,346,773,16668,9780060648794,English,Religion
The Wounded Healer : Ministry in Contemporary Society,Henri J. M. Nouwen,128,Bantam Doubleday Dell Publishing Group Inc,1994-10-01,11.12,3.88,4.22,11422,219,342,1551,3871,5439,4436,9780385148030,English,Religion
Eight Ways to Keep Devil Under Your Feet,Joyce Meyer,176,John Murray Press,2016-04-01,13.60,0.90,4.45,183,1,2,18,55,107,154231,9780446691130,English,Religion
Modern Psychotherapies - A Comprehensive Christian Appraisal,"Stanton L. Jones, Richard E. Butman",496,InterVarsity Press,2011-12-01,37.05,29.45,3.82,187,4,10,50,75,48,150381,9780830828524,English,Religion
The Power of a Praying Parent Book of Prayers,Stormie Omartian,128,"Harvest House Publishers,U.S.",2014-02-01,6.32,2.18,4.59,848,7,14,53,169,605,15218,9780736957694,English,Religion
"The Book of Mystical Chapters : Meditations on the Soul's Ascent, from the Desert Fathers and Other Early Christian Contemplatives",John Anthony Mcguckin,224,Shambhala Publications Inc,2003-07-08,17.66,1.74,4.18,84,1,3,18,20,42,315817,9781590300077,English,Religion
Heretics,G K Chesterton,176,Dover Publications Inc.,2006-06-23,10.19,0.81,4.18,4471,31,150,709,1689,1892,58082,9780486449142,English,Religion
Dethroning Mammon: Making Money Serve Grace : The Archbishop of Canterbury's Lent Book 2017,Justin Welby,192,Bloomsbury Publishing PLC,2017-01-12,13.50,1.50,3.92,187,1,15,34,85,52,74693,9781472929778,English,Religion
"Alfred's Basic Piano Library -- Popular Hits, Bk 1b",Tom Gerou,24,ALFRED MUSIC,2015-07-01,9.35,0.65,4,1,0,0,0,1,0,64744,9781470627362,English,Religion
Alchemist's Kitchen : Extraordinary Potions and Curious Notions,Guy Ogilvy,64,Wooden Books,2006-09-22,7.07,0.43,4.07,197,1,5,50,64,77,158725,9781904263524,English,Religion
Children's Missal : An Easy Way of Participating at Mass for Boys and Girls,Catholic Book Publishing Corp,96,Catholic Book Publishing,1999-07-01,7.77,1.23,4.25,8,0,1,1,1,5,273702,9780899428055,English,Religion
"Bible, Gender, Sexuality : Reframing the Church's Debate on Same-Sex Relationships","James V. Brownson, Wesley  Granberg-Michaelson",300,William B Eerdmans Publishing Co,2013-02-03,23.86,9.14,4.15,559,16,16,71,221,235,71125,9780802868633,English,Religion
Book 4,Aleister Crowley,136,Martino Fine Books,2011-04-21,14.71,0.59,4.08,1157,18,71,205,373,490,205565,9781614270270,English,Religion
Mother Angelica's Little Book of Life Lessons and Everyday Spirituality,Raymond Arroyo,240,Bantam Doubleday Dell Publishing Group Inc,2007-03-13,19.08,3.42,4.58,315,1,3,22,74,215,176659,9780385519854,English,Religion
Sacred Mirror,Prendergast,342,Paragon House Publishers,2003-09-01,25.18,1.32,3.9,39,0,6,5,15,13,211228,9781557788245,English,Religion
"Love, Power and Justice : Ontological Analyses and Ethical Applications",Paul Tillich,140,Oxford University Press Inc,1963-03-26,12.07,0.33,3.99,196,4,8,37,83,64,196222,9780195002225,English,Religion
The Book of Revelation : A Study of the Last Prophetic Book of Holy Scripture,Clarence Larkin,234,Martino Fine Books,2010-11-16,16.13,1.47,4.5,2,0,0,0,1,1,310692,9781888262179,English,Religion
