title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
Kase-san and Yamada Vol. 2,Hiromi Takashima,178,"Seven Seas Entertainment, LLC",2022-02-15,13.79,1.21,4.23,163,0,3,27,63,70,33969,9781648279379,English,Romance
Adachi and Shimamura (Light Novel) Vol. 8,"Hitoma Iruma, Non",278,"Seven Seas Entertainment, LLC",2022-02-15,13.19,2.31,4.47,104,0,3,8,30,63,170247,9781648272769,English,Romance
Christmas Cakes and Mistletoe Nights : The one book you must read this Christmas,Carole Matthews,400,"Little, Brown Book Group",2018-10-04,9.18,2.32,4.05,1598,28,74,314,558,624,25514,9780751560299,English,Romance
Archangel's Consort : Book 3,Nalini Singh,336,Orion Publishing Co,2011-02-10,10.12,2.38,4.22,41761,377,1287,6428,14343,19326,24574,9780575095779,English,Romance
The Mermaid of Black Conch : The spellbinding winner of the Costa Book of the Year as read on BBC Radio 4,Monique Roffey,272,Vintage Publishing,2021-06-10,11.15,2.35,3.95,12641,168,651,2606,5418,3798,39205,9781529115499,English,Romance
To Love Ru Vol. 15-16,"Saki Hasemi, Kentaro Yabuki",400,"Seven Seas Entertainment, LLC",2019-08-13,20.01,2.49,4.11,18,1,1,1,7,8,199959,9781947804340,English,Romance
"Mint Chocolate, Vol. 5",Mami Orikasa,192,"Little, Brown & Company",2022-03-22,11.71,2.29,4.1,124,2,6,21,44,51,714495,9781975320607,English,Romance
Archangel's Blade : Book 4,Nalini Singh,320,Orion Publishing Co,2011-09-08,10.67,1.83,4.25,32275,257,890,4740,11022,15366,24309,9780575113473,English,Romance
Letting Go: Surrender Trilogy Book 1,Maya Banks,352,Headline Publishing Group,2014-09-11,10.24,2.26,3.63,12895,678,1504,3373,3709,3631,214517,9781472221100,English,Romance
Love Bites : Book Two,Lynsay Sands,400,Orion Publishing Co,2010-01-14,10.82,1.68,4.1,24496,340,925,4689,8434,10108,141202,9780575093812,English,Romance
A Tale of the Secret Saint (Manga) Vol. 1,"Touya, Mahito Aobe",202,"Seven Seas Entertainment, LLC",2021-11-30,12.05,1.95,3.98,125,1,7,29,44,44,356404,9781648273421,English,Romance
"Tales of Wedding Rings, Vol. 6",Maybe,176,"Little, Brown & Company",2019-05-28,13.91,2.09,3.84,95,2,3,31,31,28,409760,9781975304225,English,Romance
"Love at Fourteen, Vol. 12",Fuka Mizutani,196,"Little, Brown & Company",2022-12-13,15.17,0.83,3.68,19,1,2,5,5,6,415855,9781975349424,English,Romance
"The Girl I Saved on the Train Turned Out to Be My Childhood Friend, Vol. 2 (light novel)","Kennoji, Fly",312,"Little, Brown & Company",2022-05-24,13.63,2.37,3.8,45,3,6,4,16,16,246314,9781975337018,English,Romance
"Hatsu Haru, Vol. 5",Shizuki Fujisawa,192,"Little, Brown & Company",2019-02-19,11.58,1.42,4.3,208,1,3,21,90,93,442466,9781975353537,English,Romance
The Return : The Titan Series Book 1,Jennifer L. Armentrout,352,Hodder & Stoughton,2015-02-26,9.59,1.91,4.26,21311,270,660,2933,6943,10505,101524,9781473611573,English,Romance
Alien Hearts,Guy de Maupassant,200,"The New York Review of Books, Inc",2009-12-01,14.32,3.68,3.78,917,17,63,252,362,223,258344,9781590172605,English,Romance
Bite Me If You Can : Book Six,Lynsay Sands,368,Orion Publishing Co,2011-02-10,10.70,1.80,4.28,20805,104,454,3149,7001,10097,297644,9780575099548,English,Romance
Foreplay : The Ivy Chronicles Book 1,Sophie Jordan,298,HarperCollins Publishers Inc,2015-03-12,14.18,0.82,3.9,19105,371,1090,4369,7469,5806,279983,9780062279873,English,Romance
For All Time: Nantucket Brides Book 2 (A completely enthralling summer read),Jude Deveraux,400,Headline Publishing Group,2015-04-28,11.29,2.71,3.98,6449,116,380,1389,2172,2392,1185480,9781472211408,English,Romance
