title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
Lies Sleeping : Book 7 in the #1 bestselling Rivers of London series,Ben Aaronovitch,416,Orion Publishing Co,2019-05-16,8.09,3.41,4.25,23712,38,256,3038,10830,9550,2691,9781473207837,English,"Science, Fiction, Fantasy, Horror"
The Other Wind : The Sixth Book of Earthsea,Ursula K. Le Guin,256,Orion Publishing Co,2003-03-20,7.10,5.40,4.17,24194,136,706,4072,9257,10023,28781,9781842552117,English,"Science, Fiction, Fantasy, Horror"
"Konosuba: God's Blessing on This Wonderful World!, Vol. 10 (light novel)","Natsume Akatsuki, Kurone Mishima",192,"Little, Brown & Company",2019-12-17,12.06,2.94,4.29,411,2,6,58,149,196,33907,9781975332341,English,"Science, Fiction, Fantasy, Horror"
"The Saga of Tanya the Evil, Vol. 6 (Light Novel): Nil Admirari","Carlo Zen, Shinobu Shinotsuki",192,Yen on,2019-08-13,14.48,0.52,4.19,274,1,6,49,103,115,62625,9780316560719,English,"Science, Fiction, Fantasy, Horror"
"So I'm a Spider, So What?, Vol. 13 (light novel)","Okina Baba, Tsukasa Kiryu",260,"Little, Brown & Company",2022-01-18,13.79,2.21,4.3,601,7,13,82,190,309,22463,9781975339852,English,"Science, Fiction, Fantasy, Horror"
"Spice and Wolf, Vol. 19 (light novel)",Isuna Hasekura,240,"Little, Brown & Company",2018-03-27,13.39,1.61,4.5,160,0,0,20,40,100,43611,9781975300128,English,"Science, Fiction, Fantasy, Horror"
"Boruto: Naruto Next Generations, Vol. 15","Masashi Kishimoto, Mikio Ikemoto",176,"Viz Media, Subs. of Shogakukan Inc",2022-11-10,9.07,1.93,3.71,276,7,22,85,93,69,23602,9781974732326,English,"Science, Fiction, Fantasy, Horror"
The Second Book Of Lankhmar,Fritz Leiber,704,Orion Publishing Co,2001-12-06,18.17,0.33,4.02,448,5,13,96,187,147,85898,9780575073586,English,"Science, Fiction, Fantasy, Horror"
"Accel World, Vol. 2 (light novel) : The Red Storm Princess",Reki Kawahara,256,"Little, Brown & Company",2014-11-18,13.56,0.44,4.02,451,6,23,90,171,161,65038,9780316296366,English,"Science, Fiction, Fantasy, Horror"
Warbreaker,Brandon Sanderson,592,St Martin's Press,2009-06-09,38.89,1.61,4.3,163651,795,2685,19508,64402,76261,42604,9780765320308,English,"Science, Fiction, Fantasy, Horror"
"Sword Art Online, Vol. 16 (light novel)",Reki Kawahara,208,"Little, Brown & Company",2019-05-21,13.93,1.07,4.2,572,8,22,86,185,271,66705,9781975304188,English,"Science, Fiction, Fantasy, Horror"
The Little Prince : And Letter to a Hostage,"Antoine de Saint-Exupéry, T V F Cuffe",160,Penguin Books Ltd,2021-12-02,16.75,1.75,4.4,10501,107,280,1147,2721,6246,4481,9780241508664,English,"Science, Fiction, Fantasy, Horror"
"Is It Wrong to Try to Pick Up Girls in a Dungeon?, Vol. 13 (light novel)","Fujino Omori, Suzuhito Yasuda",400,"Little, Brown & Company",2019-03-19,13.20,1.80,4.6,576,0,5,37,139,395,21837,9781975328191,English,"Science, Fiction, Fantasy, Horror"
Vintage 1954,"Antoine Laurain, Gallic Books",208,Gallic Books,2019-06-20,10.00,1.50,3.76,1118,13,82,322,443,258,22701,9781910477670,English,"Science, Fiction, Fantasy, Horror"
"Date A Live, Vol. 7 (light novel)","Koushi Tachibana, Tsunako",264,"Little, Brown & Company",2022-10-18,14.59,1.41,4.52,197,1,1,25,38,132,22703,9781975348298,English,"Science, Fiction, Fantasy, Horror"
"Goblin Slayer, Vol. 10 (light novel)","Kumo Kagyu, Noboru Kannatuki",208,"Little, Brown & Company",2020-08-25,14.12,1.88,4.14,168,2,3,31,65,67,23499,9781975314033,English,"Science, Fiction, Fantasy, Horror"
