title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
A Little Book of Coincidence in the Solar System,John Martineau,64,Wooden Books,2017-08-29,7.07,0.43,4.04,283,5,18,56,87,117,25774,9781904263050,English,"Science, Geography"
Introduction to Topology : Third Edition,Bert Mendelson,224,Dover Publications Inc.,2003-03-17,12.38,3.12,3.99,359,11,10,77,134,127,58019,9780486663524,English,"Science, Geography"
How Religion Evolved : And Why It Endures,Robin Dunbar,352,Penguin Books Ltd,2022-04-07,25.44,1.56,4.08,149,2,3,25,70,49,60596,9780241431788,English,"Science, Geography"
Fundamentals of Astrodynamics: Seco : Second Edition,Roger Bate,496,Dover Publications Inc.,2020-02-29,21.90,3.60,4.24,267,3,4,36,106,118,59153,9780486497044,English,"Science, Geography"
An Introduction to the Event-Related Potential Technique,Steven J. Luck,416,MIT Press Ltd,2014-12-18,51.44,3.06,4.49,142,1,0,8,52,81,124096,9780262525855,English,"Science, Geography"
"This Book is Not Rubbish : 50 Ways to Ditch Plastic, Reduce Rubbish and Save the World!","Isabel Thomas, Alex Paterson",208,Hachette Children's Group,2018-09-20,7.57,1.43,3.92,60,0,1,17,28,14,322783,9781526361530,English,"Science, Geography"
Field Guide to the Birds of Cuba,"Orlando H. Garrido, Arturo Kirkconnell, Lester Short, Roman F. Company",272,Cornell University Press,2000-08-30,31.52,0.48,4.35,17,0,1,1,6,9,160213,9780801486319,English,"Science, Geography"
Neuroaffective Picture Book : An Illustrated Introduction to Developmental Neuropsychology,"Marianne Bentzen, Kim Hagen",64,"North Atlantic Books,U.S.",2018-06-26,15.43,5.07,4,19,0,0,6,7,6,343208,9781623172541,English,"Science, Geography"
"The Faces, or Phases, of the Moon - Astronomy Book for Kids Children's Astronomy Books",Baby Professor,64,Baby Professor,2017-04-15,22.75,14.25,4.11,9,1,0,1,2,5,624471,9781541913608,English,"Science, Geography"
Tensor Analysis on Manifolds,Richard L. Bishop,288,Dover Publications Inc.,2003-03-17,14.92,3.08,3.94,35,0,1,9,16,9,202664,9780486640396,English,"Science, Geography"
Ethnopharmacologic Search for Psychoactive Drugs (Vol. 1 & 2) : 50 Years of Research,"Dennis McKenna, Ghillean T. Prance, Wade Davis, Ben Leonen",352,"Synergetic Press Inc.,U.S.",2018-07-26,100.88,9.11,4.63,19,0,0,2,3,14,266651,9780907791683,English,"Science, Geography"
"Shipped : If you're looking for a witty, escapist, enemies-to-lovers rom-com, filled with 'sun, sea and sexual tension', this is the book for you!",Angie Hockman,336,Headline Publishing Group,2021-01-19,10.12,2.38,3.65,54610,776,4186,17830,22209,9609,13178,9781472280664,English,"Science, Geography"
Star Names : Their Lore and Meaning,Richard H. Allen,563,Dover Publications Inc.,2000-01-02,20.81,2.19,4.1,106,2,4,21,33,46,271440,9780486210797,English,"Science, Geography"
Symmetry and Spectroscopy : Introduction to Vibrational and Electronic Spectroscopy,"Daniel C. Harris, Michael D. Bertolucci",576,Dover Publications Inc.,1990-08-02,22.26,3.74,4.24,59,1,2,11,13,32,268871,9780486661445,English,"Science, Geography"
"Tensors, Differential Forms and Variational Principles","David Lovelock, Hanno Rund",400,Dover Publications Inc.,1990-03-19,18.17,1.83,3.76,34,1,3,10,9,11,195015,9780486658407,English,"Science, Geography"
Classifying Animals into Vertebrates and Invertebrates - Animal Book for 8 Year Olds Children's Animal Books,Baby Professor,64,Baby Professor,2017-09-15,14.03,6.17,4,1,0,0,0,1,0,874679,9781541938809,English,"Science, Geography"
The Gamma Function,Emil Artin,48,Dover Publications Inc.,2015-04-24,8.12,1.38,4.31,13,0,0,3,3,7,466639,9780486789781,English,"Science, Geography"
Foundations of the Theory of Probability: Second English,A.N. Kolmogorov,96,Dover Publications Inc.,2018-05-25,10.50,3.00,4.37,38,0,0,7,10,21,430438,9780486821597,English,"Science, Geography"
An Introduction to Fourier Series and Integrals,Robert T Seeley,112,Dover Publications Inc.,2006-10-27,9.92,1.08,4.2,5,0,0,1,2,2,52687,9780486453071,English,"Science, Geography"
Non-equilibrium Thermodynamics,"S.R.De Groot, P. Mazur",528,Dover Publications Inc.,2011-02-17,24.91,3.09,4,5,0,1,0,2,2,458890,9780486647418,English,"Science, Geography"
Self-working Number Magic,Karl Fulves,145,Dover Publications Inc.,1984-05-01,9.42,0.08,4.14,14,0,0,2,8,4,411177,9780486243917,English,"Science, Geography"
Proof Theory,Takeuti,384,Dover Publications Inc.,2013-02-20,24.04,1.46,4,6,0,0,2,2,2,518629,9780486490731,English,"Science, Geography"
Asymptotic Methods in Analysis,N. G. de Bruijn,224,Dover Publications Inc.,2010-10-18,15.16,0.84,4,10,0,1,3,1,5,411460,9780486642215,English,"Science, Geography"
Pain: A Ladybird Expert Book,Irene Tracey,56,Penguin Books Ltd,2021-03-01,10.12,1.38,4,4,0,0,1,2,1,1001736,9780241345535,English,"Science, Geography"
Where Does Broccoli Come From? A Book of Vegetables,"Arielle Dani Lebovitz, Mary Navarro, Brette Fishman",164,Experience Delicious LLC,2018-10-08,49.87,6.53,4.33,3,0,0,0,2,1,777116,9781947001152,English,"Science, Geography"
The Handy Math Answer Book : Second Edition,"Patricia Barnes-Svarney, Thomas E. Svarney",516,Visible Ink Press,2013-04-05,36.98,11.02,3.72,29,1,2,11,5,10,1067747,9781578593736,English,"Science, Geography"
Molecules & Elements : Science for Kids Children's Chemistry Books Edition,Baby Professor,40,Baby Professor,2015-08-12,12.62,3.88,3.17,6,1,0,2,3,0,907728,9781682806036,English,"Science, Geography"
Neuropedia : A Brief Compendium of Brain Phenomena,"Eric H. Chudler, Kelly Chudler",176,Princeton University Press,2022-11-22,13.67,3.32,4.5,2,0,0,0,1,1,56186,9780691213576,English,"Science, Geography"
"Fossils and Paleontology for kids : Facts, Photos and Fun Children's Fossil Books",Baby Professor,40,Baby Professor,2015-08-12,12.62,3.48,5,2,0,0,0,0,2,909619,9781682806111,English,"Science, Geography"
The Handy Biology Answer Book,"Patricia Barnes-Svarney, Thomas E. Svarney",500,Visible Ink Press,2014-09-25,25.70,18.70,4,7,0,0,2,3,2,1024580,9781578594900,English,"Science, Geography"
Computability and Unsolvability,Martin Davis,288,Dover Publications Inc.,1985-12-01,17.15,0.85,3.83,29,0,3,7,11,8,609075,9780486614717,English,"Science, Geography"
Weak Interactions and Modern Particle Theory,Howard Georgi,192,Dover Publications Inc.,2009-03-26,16.44,0.06,4.5,2,0,0,0,1,1,651455,9780486469041,English,"Science, Geography"
Analysis On Manifolds,James R. Munkres,384,Taylor & Francis Inc,1997-09-28,84.43,6.57,4.04,48,0,2,10,20,16,582224,9780201315967,English,"Science, Geography"
Lectures on Ergodic Theory,Paul R. Halmos,108,Dover Publications Inc.,2018-01-26,10.01,2.49,5,4,0,0,0,0,4,651474,9780486814896,English,"Science, Geography"
Foundations of Potential Theory,Oliver D. Kellogg,400,Dover Publications Inc.,2010-10-18,19.74,1.26,4.75,4,0,0,0,1,3,57809,9780486601441,English,"Science, Geography"
Evolutionary Psychology - A Critical Introduction,V Swami,388,John Wiley and Sons Ltd,2011-02-22,67.68,24.92,4.29,7,0,0,1,3,3,1118069,9781405191227,English,"Science, Geography"
An Experiment with Time,J W Dunne,176,Dover Publications Inc.,2022-08-17,12.92,0.08,3.66,316,7,41,81,111,76,52606,9780486849942,English,"Science, Geography"
Greek Astronomy,Thomas Heath,256,Dover Publications Inc.,2011-11-02,15.84,0.16,3.81,16,0,2,5,3,6,683537,9780486266206,English,"Science, Geography"
The Neuroaffective Picture Book 2 : Socialization and Personality,"Marianne Bentzen, Susan Hart, Kim Hagen Jensen",98,Paragon Publishing,2018-06-07,35.40,4.10,4,2,0,0,0,2,0,1369085,9781782225997,English,"Science, Geography"
"Horses, Horses, in the End the Light Remains Pure : A Tale That Begins with Fukushima","Hideo Furukawa, Doug Slaymaker, Akiko Takenaka",160,Columbia University Press,2016-03-01,19.02,2.98,3.65,135,4,18,36,40,37,699309,9780231178693,English,"Science, Geography"
A First Look at Numerical Functional Analysis,W W Sawyer,208,Dover Publications Inc.,2011-02-25,14.92,1.08,4.86,7,0,0,0,1,6,683897,9780486478821,English,"Science, Geography"
Mathematical Modelling Techniques,Rutherford Aris,288,Dover Publications Inc.,2003-03-17,16.54,0.46,3.87,15,1,1,4,2,7,666876,9780486681313,English,"Science, Geography"
The Hanging Tree : Execution and the English People 1770-1868,V. A. C. Gatrell,656,Oxford University Press,1996-11-28,99.21,14.89,4.09,43,0,0,12,15,16,1001352,9780192853325,English,"Science, Geography"
Discovering Mathematics : The Art of Investigation,A Gardiner,206,Dover Publications Inc.,2006-12-15,14.63,0.37,4,2,0,0,1,0,1,701143,9780486452999,English,"Science, Geography"
Essentials of Geochemistry,John V. Walther,797,"Jones and Bartlett Publishers, Inc",2008-12-05,207.12,32.98,3,2,0,1,0,1,0,1040970,9780763759223,English,"Science, Geography"
Information Theory and Statistics,Solomon Kullback,432,Dover Publications Inc.,1997-10-21,23.79,0.21,3.95,20,0,1,4,10,5,701170,9780486696843,English,"Science, Geography"
Neuropedia : A Brief Compendium of Brain Phenomena,"Eric H. Chudler, Kelly Chudler",176,Princeton University Press,2022-11-22,13.67,3.32,4.5,2,0,0,0,1,1,56186,9780691213576,English,"Science, Geography"
"The Scientific American Book of Love, Sex and the Brain : The Neuroscience of How, When, Why and Who We Love","Judith Horstman, Scientific American",256,John Wiley & Sons Inc,2012-04-20,22.44,3.66,3.84,112,1,10,27,42,32,863515,9780470647783,English,"Science, Geography"
Differential Forms,Henri Cartan,176,Dover Publications Inc.,2006-07-28,15.66,0.34,3.5,2,0,0,1,1,0,636779,9780486450100,English,"Science, Geography"
Elementary Mathmatics from an Advan,Felix Klein,224,Dover Publications Inc.,2004-09-24,15.50,0.50,4.46,13,0,1,0,4,8,636772,9780486434810,English,"Science, Geography"
The Beauty of Geometry : Twelve Essays,H. S. M. Coxeter,288,Dover Publications Inc.,2003-03-28,14.92,0.58,4.38,13,0,0,2,4,7,636727,9780486409191,English,"Science, Geography"
Differential Topology : First Steps,Andrew Wallace,144,Dover Publications Inc.,2006-11-24,10.57,1.43,4,4,0,0,1,2,1,622641,9780486453170,English,"Science, Geography"
Kepler,Max Caspar,464,Dover Publications Inc.,2003-03-17,20.36,0.64,4.19,43,0,3,4,18,18,636799,9780486676050,English,"Science, Geography"
Elements of Statistical Thermodynamics,Leonard K Nash,144,Dover Publications Inc.,2006-02-24,11.85,1.15,4.13,23,1,1,3,7,11,585824,9780486449784,English,"Science, Geography"
Regular Algebra and Finite Machines,John Horton Conway,160,Dover Publications Inc.,2012-09-28,10.03,0.47,3.67,3,0,0,1,2,0,622723,9780486485836,English,"Science, Geography"
Conquistador Voices (vol II) : The Spanish Conquest of the Americas as Recounted Largely by the Participants,Kevin H Siepel,428,Spruce Tree Press,2015-10-12,24.69,4.31,4.5,54,1,0,4,15,34,899450,9780978646639,English,"Science, Geography"
Introduction to Projective Geometry,Jr.  C R Wylie,576,Dover Publications Inc.,2009-02-27,29.32,2.68,3.83,12,0,1,3,5,3,608158,9780486468952,English,"Science, Geography"
Word Problems are Easy! Math Books for 1st Graders Children's Math Books,Baby Professor,64,Baby Professor,2017-09-15,14.03,6.17,5,2,0,0,0,0,2,2199148,9781541927926,English,"Science, Geography"
The World's Greatest Mountain Ranges - Geography Mountains Books for Kids Children's Geography Book,Baby Professor,64,Baby Professor,2017-09-15,14.03,6.17,3,2,1,0,0,0,1,1578772,9781541912045,English,"Science, Geography"
Counting to 100 - Counting Exercises for Kids Children's Math Books,Baby Professor,64,Baby Professor,2017-02-15,14.03,6.17,5,1,0,0,0,0,1,1936809,9781541904224,English,"Science, Geography"
A Pedestrian Approach to Quantum Field Theory,Edward Harris,192,Dover Publications Inc.,2014-05-29,12.38,3.12,4,4,0,0,2,0,2,636773,9780486780221,English,"Science, Geography"
Atom and Molecules - Chemistry Book Grade 4 Children's Chemistry Books,Baby Professor,64,Baby Professor,2017-04-15,14.03,6.17,4,3,0,0,0,3,0,1936818,9781541910867,English,"Science, Geography"
Kepler,Max Caspar,464,Dover Publications Inc.,2003-03-17,20.36,0.64,4.19,43,0,3,4,18,18,636799,9780486676050,English,"Science, Geography"
It's In Your DNA! What Is DNA? - Biology Book 6th Grade Children's Biology Books,Baby Professor,64,Baby Professor,2017-09-15,14.03,6.17,3.25,4,1,0,1,1,1,1460014,9781541938908,English,"Science, Geography"
Introduction to Projective Geometry,Jr.  C R Wylie,576,Dover Publications Inc.,2009-02-27,29.32,2.68,3.83,12,0,1,3,5,3,608158,9780486468952,English,"Science, Geography"
A Pedestrian Approach to Quantum Field Theory,Edward Harris,192,Dover Publications Inc.,2014-05-29,12.38,3.12,4,4,0,0,2,0,2,636773,9780486780221,English,"Science, Geography"
The Northern Lights : The True Story of the Man Who Unlocked the Secrets of the Aurora Borealis,Lucy Jago,320,Random House USA Inc,2002-11-01,16.65,1.35,3.81,458,7,21,127,199,104,459453,9780375708824,English,"Science, Geography"
"Dynamic Optimization, Seco",Kamien,400,Dover Publications Inc.,2012-11-21,22.49,3.51,4.38,8,0,0,1,3,4,538512,9780486488561,English,"Science, Geography"
"Fibonacci and Lucas Numbers, and the Golden Section : Theory and Applications",Steven Vajda,192,Dover Publications Inc.,2008-03-28,15.57,0.43,4.2,5,0,0,0,4,1,538774,9780486462769,English,"Science, Geography"
Walking,Henry David Thoreau,96,HarperCollins Publishers Inc,2014-05-16,8.73,2.27,3.79,8177,145,641,2302,2819,2270,509827,9780062511133,English,"Science, Geography"
The Handy Chemistry Answer Book,Ian C. Stewart,388,Visible Ink Press,2013-11-14,33.64,11.46,3.08,12,1,3,3,4,1,819423,9781578593743,English,"Science, Geography"
Meta Math! : The Quest for Omega,Gregory Chaitin,240,Random House USA Inc,2006-11-14,15.91,1.09,3.65,354,19,42,76,124,93,626320,9781400077977,English,"Science, Geography"
Who Wrote the Book of Life? : A History of the Genetic Code,Lily E. Kay,472,Stanford University Press,2000-06-01,37.44,5.06,3.8,15,1,0,4,6,4,756698,9780804734172,English,"Science, Geography"
The Green Book of Mathematical Problems,Kenneth Hardy,184,Dover Publications Inc.,2013-06-28,14.48,1.52,3.83,6,0,1,1,2,2,739536,9780486695730,English,"Science, Geography"
The Sacred Geometry Oracle : Book and Card Deck,John Michael Greer,268,Aeon Books Ltd,2021-12-27,28.85,1.14,4.13,15,0,0,4,5,6,284389,9781912807192,English,"Science, Geography"
There are Lots of Places to See in Germany! Geography Book for Children Children's Travel Books,Baby Professor,64,Baby Professor,2017-12-01,14.03,6.47,4,1,0,0,0,1,0,1575298,9781541915916,English,"Science, Geography"
What is The Solar System? Astronomy Book for Kids Children's Astronomy Books,Baby Professor,64,Baby Professor,2017-04-15,14.03,6.17,4.25,4,0,0,1,1,2,1459995,9781541913547,English,"Science, Geography"
Light Scattering by Small Particles,H. C. van de Hulst,470,Dover Publications Inc.,2003-03-17,18.60,1.40,3.56,16,1,2,2,9,2,518640,9780486642284,English,"Science, Geography"
The Lost Wolves of Japan,"Brett L. Walker, William Cronon",360,University of Washington Press,2008-04-01,29.73,3.77,3.97,110,2,6,21,45,36,432110,9780295988146,English,"Science, Geography"
"Complete Brain Exercise Book: Train Your Brain - Improve Memory, Language, Motor Skills and More",Fraser Smith,256,Robert Rose Inc,2015-09-02,25.09,1.41,3.33,6,1,0,2,2,1,493609,9780778805151,English,"Science, Geography"
Continuum Mechanics,A J M Spencer,192,Dover Publications Inc.,2004-04-30,13.85,4.15,4.35,23,0,2,3,3,15,474432,9780486435947,English,"Science, Geography"
Conditioned Reflexes : An Investigation of the Physiological Activity of the Cerebral Cortex,"I P Pavlov, G V Anrep",450,Martino Fine Books,2015-03-09,31.47,1.23,4.16,159,0,2,31,66,60,749456,9781614277989,English,"Science, Geography"
Mathematical Understanding of Nature : Essays on Amazing Physical Phenomena and their Understanding by Mathematicians,V. I. Arnold,167,American Mathematical Society,2014-10-10,38.96,1.14,4.09,11,0,0,3,4,4,684273,9781470417017,English,"Science, Geography"
Computability and Unsolvability,Martin Davis,288,Dover Publications Inc.,1985-12-01,17.15,0.85,3.83,29,0,3,7,11,8,609075,9780486614717,English,"Science, Geography"
Techniques and Applications of Path Integration,L.S. Schulman,448,Dover Publications Inc.,2005-12-30,21.87,2.13,4.5,4,0,0,1,0,3,651438,9780486445281,English,"Science, Geography"
Theory of Lie Groups,Claude Chevalley,224,Dover Publications Inc.,2018-04-27,13.80,1.20,4.33,3,0,0,1,0,2,651477,9780486824536,English,"Science, Geography"
A History of Vector Analysis : The Evolution of the Idea of a Vectorial System,Michael J. Crowe,304,Dover Publications Inc.,2011-11-02,17.04,3.96,4.08,38,0,1,7,18,12,666875,9780486679105,English,"Science, Geography"
Weather Almanac 2023 : The Perfect Gift for Nature Lovers and Weather Watchers,"Storm Dunlop, Collins Astronomy, Collins Books",272,HarperCollins Publishers,2022-09-15,12.21,0.29,3.8,5,1,0,0,2,2,680658,9780008532604,English,"Science, Geography"
The Noetics of Nature : Environmental Philosophy and the Holy Beauty of the Visible,Bruce V. Foltz,320,Fordham University Press,2013-11-11,32.39,11.21,4.5,14,0,0,1,5,8,686519,9780823254651,English,"Science, Geography"
Round River,"Aldo Leopold, Luna B. Leopold",188,Oxford University Press Inc,1972-11-02,20.36,15.64,4.2,163,0,4,27,64,68,560189,9780195015638,English,"Science, Geography"
Lectures on Classical Differential Geometry : Second Edition,Dirk J. Struik,240,Dover Publications Inc.,2003-03-17,15.41,1.09,3.93,14,1,0,5,1,7,482693,9780486656090,English,"Science, Geography"
Sounds for Kids age 1-3 (Engage Early Readers : Children's Learning Books),"Dayna Martin, A R Roumanis",32,Engage Books,2015-06-25,8.87,5.73,4.5,10,0,0,2,1,7,713715,9781772260908,English,"Science, Geography"
Foundations of Potential Theory,Oliver D. Kellogg,400,Dover Publications Inc.,2010-10-18,19.74,1.26,4.75,4,0,0,0,1,3,57809,9780486601441,English,"Science, Geography"
An Experiment with Time,J W Dunne,176,Dover Publications Inc.,2022-08-17,12.92,0.08,3.66,316,7,41,81,111,76,52606,9780486849942,English,"Science, Geography"
Theoretical Mechanics of Particles,"John Dirk Walecka, Alexander L. Fetter",592,Dover Publications Inc.,2004-01-01,27.74,14.76,3.62,39,1,3,14,13,8,482644,9780486432618,English,"Science, Geography"
Mathematical Analysis I,"V. A. Zorich, Roger Cooke, Octavio Paniagua Taboada",616,Springer-Verlag Berlin and Heidelberg GmbH & Co. KG,2016-03-11,61.92,12.97,4.48,50,0,1,6,11,32,499317,9783662487907,English,"Science, Geography"
"Antibiotics - Challenges, Mechanisms, Opportunities Second Edition",C Walsh,478,American Society for Microbiology,2016-03-14,112.74,11.21,4,1,0,0,0,1,0,674628,9781555819309,English,"Science, Geography"
"Networks of Power : Electrification in Western Society, 1880-1930",Thomas Parker Hughes,488,Johns Hopkins University Press,1993-04-26,52.35,9.75,3.79,38,0,3,12,13,10,722115,9780801846144,English,"Science, Geography"
Did Your Can of Soda Kill A Whale? Water Pollution for Kids Children's Environment Books,Baby Professor,64,Baby Professor,2017-05-15,14.03,6.17,5,1,0,0,0,0,1,1460009,9781541938489,English,"Science, Geography"
Geometry of Conics,A V Akopyan,134,American Mathematical Society,2007-12-13,39.72,0.98,3.75,4,0,1,1,0,2,1003878,9780821843239,English,"Science, Geography"
Early Christian Readings of Genesis One - Patristic Exegesis and Literal Interpretation,Craig D. Allert,368,IVP Academic,2018-07-24,27.84,14.66,4.05,19,0,0,6,6,7,563228,9780830852017,English,"Science, Geography"
The Secret Lives of Planets : A User's Guide to the Solar System - BBC Sky At Night's Best Astronomy and Space Books of 2019,Paul Murdin,288,Hodder & Stoughton,2020-07-09,11.59,4.41,3.94,484,0,16,128,211,129,628651,9781529319408,English,"Science, Geography"
On Freedom : The electrifying new book from the author of The Argonauts,Maggie Nelson,304,Vintage Publishing,2022-09-08,12.69,1.81,4.04,1420,17,68,289,519,527,257329,9781529113341,English,"Science, Geography"
The Times Su Doku Book 14 : 150 Challenging Puzzles from the Times,The Times Mind Games,256,HarperCollins Publishers,2014-12-16,9.25,0.75,1,1,1,0,0,0,0,68840,9780007511990,English,"Science, Geography"
"Larone's Medically Important Fungi - A Guide to Identification, Sixth Edition",TJ Walsh,550,American Society for Microbiology,2018-08-17,113.63,6.32,4,2,0,0,1,0,1,891971,9781555819873,English,"Science, Geography"
Back to the Blue : A Story of Survival,"A. J. Wood, Ian Andrew",36,Templar Publishing,1998-10-01,6.12,1.19,3,3,0,1,1,1,0,613037,9781840110111,English,"Science, Geography"
Theory of Functions: Pts. 1 & 2,"Konrad Knopp, Frederick Bagemihl",320,Dover Publications Inc.,1996-12-20,16.96,1.04,4.7,10,0,0,1,1,8,583352,9780486692197,English,"Science, Geography"
Mathematical Foundations of Statistical Mechanics,"A.Y. Khinchin, Gamow",179,Dover Publications Inc.,1999-08-07,14.95,1.05,3.74,19,0,2,5,8,4,609073,9780486601472,English,"Science, Geography"
Theory of Functions: Pts. 1 & 2,"Konrad Knopp, Frederick Bagemihl",320,Dover Publications Inc.,1996-12-20,16.96,1.04,4.7,10,0,0,1,1,8,583352,9780486692197,English,"Science, Geography"
Making Your Own Telescope,Allyn J. Thompson,240,Dover Publications Inc.,2011-10-20,16.94,0.56,3.92,13,0,0,4,6,3,609074,9780486428833,English,"Science, Geography"
Fourier Series and Orthogonal Functions,Harry F. Davis,416,Dover Publications Inc.,1990-03-19,20.22,0.78,4.5,10,0,0,1,3,6,595838,9780486659732,English,"Science, Geography"
The Riemann Zeta-Function: Theory A : Theory and Applications,Aleksandar Ivic,562,Dover Publications Inc.,2003-06-16,27.67,4.33,4,8,0,1,1,3,3,52712,9780486428130,English,"Science, Geography"
David Harvey - A Critical Reader,N Castree,338,John Wiley and Sons Ltd,2006-03-17,26.27,16.53,3.76,33,1,2,10,11,9,584054,9780631235101,English,"Science, Geography"
Elementary Statistical Physics,Charles Kittel,240,Dover Publications Inc.,2004-04-26,17.95,1.05,3.68,19,1,1,7,4,6,583324,9780486435145,English,"Science, Geography"
Experiments in Topology,Stephen Barr,210,Dover Publications Inc.,1990-01-01,13.91,0.09,3.61,33,0,2,13,14,4,598269,9780486259338,English,"Science, Geography"
"The Final Journey of the Saturn V : The Rise, Fall, & Resurrection of the Saturn Rocket","Andrew Thomas, Paul N. Thomarios, Gene Cernan",128,The University of Akron Press,2012-08-20,24.92,1.08,4,2,0,0,1,0,1,1298062,9781931968997,English,"Science, Geography"
Darwin's Origin of Species,Professor Janet Browne,192,Grove Press / Atlantic Monthly Press,2008-02-18,14.17,0.82,3.73,584,4,37,194,227,122,574971,9780802143464,English,"Science, Geography"
Infinite City : A San Francisco Atlas,Rebecca Solnit,166,University of California Press,2010-11-29,50.92,4.58,4.25,1196,11,38,172,396,579,605140,9780520262492,English,"Science, Geography"
The MCAT Physics Book,Garrett Biehle,442,Nova Press,2015-08-19,42.25,7.70,4.07,30,3,0,3,10,14,910033,9781889057330,English,"Science, Geography"
Applied Probability Models with Optimization Applications,Sheldon M. Ross,198,Dover Publications Inc.,1993-04-15,13.16,0.84,4.42,24,0,0,2,10,12,609080,9780486673141,English,"Science, Geography"
"Henry Dresser and Victorian Ornithology : Birds, Books and Business",Henry A. McGhie,368,Manchester University Press,2018-02-01,42.55,48.55,4.5,2,0,0,0,1,1,911283,9781784994136,English,"Science, Geography"
"Calculus: One-variable Calculus, with an Introduction to Linear Algebra v. 1",Tom M. Apostol,688,John Wiley and Sons Ltd,1991-01-16,305.92,23.48,4.3,428,10,18,42,123,235,699837,9780471000051,English,"Science, Geography"
"This Book is a Plant : How to Grow, Learn and Radically Engage with the Natural World",Wellcome Collection,208,Profile Books Ltd,2022-02-24,15.50,3.00,4.14,35,0,0,11,8,16,947558,9781788166911,English,"Science, Geography"
Make the Most of Your Mind,Tony Buzan,162,Prentice Hall (a Pearson Education company),1984-02-24,14.19,0.91,3.63,231,9,20,79,62,61,560676,9780671495190,English,"Science, Geography"
A Problem Book in Algebra,V. A. Krechmar,442,New Age International (UK) Ltd,2017-01-30,47.33,8.25,5,1,0,0,0,0,1,25857,9781781831113,English,"Science, Geography"
The Little Book of Neuroscience Haiku,Eric Chudler,240,WW Norton & Co,2013-05-21,14.53,3.47,3.87,46,2,3,14,7,20,860573,9780393708325,English,"Science, Geography"
Which One Doesn't Belong? : A Shapes Book and Teacher's Guide,Christopher Danielson,270,Stenhouse Publishers,2016-08-31,37.66,0.34,4.86,7,0,0,0,1,6,327071,9781625310811,English,"Science, Geography"
Worlding Cities - Asian Experiments and the Art of Being Global,A Roy,376,John Wiley and Sons Ltd,2011-08-23,26.94,22.56,4.07,30,0,1,9,7,13,384509,9781405192767,English,"Science, Geography"
