title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
The Complete Book of Rules : Time Tested Secrets for Capturing the Heart of Mr. Right,"Ellen Fein, Sherrie Schneider",304,HarperCollins Publishers,2011-08-08,11.65,0.85,3.74,231,21,22,47,48,93,54664,9780722539743,English,"Society, Social, Sciences"
"The Social Skills Picture Book : Teaching Play, Emotion, and Communication to Children with Autism",Jed Baker,197,Future Horizons Incorporated,2003-02-01,42.62,0.88,4.24,168,3,3,22,62,78,5584,9781885477910,English,"Society, Social, Sciences"
The Rise of the Robots : FT and McKinsey Business Book of the Year,Martin Ford,352,Oneworld Publications,2016-06-02,12.16,0.34,3.97,8983,147,409,1774,3890,2763,19533,9781780748481,English,"Society, Social, Sciences"
The Book : On the Taboo Against Knowing Who You Are,Alan Watts,176,Random House USA Inc,1989-08-28,13.12,3.88,4.22,20106,327,824,2732,6360,9863,9535,9780679723004,English,"Society, Social, Sciences"
Artificial Intelligence : A Guide for Thinking Humans,Melanie Mitchell,448,Penguin Books Ltd,2020-09-24,12.89,0.61,4.41,1649,3,25,132,617,872,16027,9780241404836,English,"Society, Social, Sciences"
"The Complete Books of Charles Fort: The Book Of The Damned , Lo! , Wild Talents, New Lands",Charles Fort,1152,Dover Publications Inc.,2003-03-28,46.41,5.09,4.07,345,12,12,66,104,151,130726,9780486230948,English,"Society, Social, Sciences"
A Book of Life,Peter Kingsley,258,CATAFALQUE PRESS,2021-09-01,25.74,5.46,4.42,45,0,1,8,7,29,72599,9781999638450,English,"Society, Social, Sciences"
The Little Book of Lykke : The Danish Search for the World's Happiest People,Meik Wiking,288,Penguin Books Ltd,2018-06-16,17.24,3.32,3.98,15790,257,639,3402,6360,5132,4840,9780241302019,English,"Society, Social, Sciences"
The Comfort Book,Matt Haig,272,Canongate Books,2022-03-17,10.15,3.35,4.1,40221,496,1696,7320,14451,16258,389,9781786898326,English,"Society, Social, Sciences"
"The Cut Out Girl : A Story of War and Family, Lost and Found: The Costa Book of the Year 2018",Bart van Es,288,Penguin Books Ltd,2019-01-10,11.76,0.74,4.07,4817,48,180,876,1977,1736,10977,9780241978726,English,"Society, Social, Sciences"
How Children Learn: Bk. 2,"Linda Pound, Cathy Hughes",64,Step Forward Publishing Ltd,2008-04-01,21.30,2.20,4.5,16,0,0,3,2,11,85443,9781904575375,English,"Society, Social, Sciences"
Islam : The Essentials,Tariq Ramadan,336,Penguin Books Ltd,2017-03-02,11.22,1.28,3.84,205,2,13,51,88,51,66358,9780141980508,English,"Society, Social, Sciences"
The Book : A Global History,"Michael F. Suarez, S.J., H. R. Woudhuysen",768,Oxford University Press,2014-02-01,46.57,3.93,4.18,56,0,0,11,24,21,340579,9780199679416,English,"Society, Social, Sciences"
What Every Man Thinks About Apart from Sex... *BLANK BOOK*,Sheridan Simove,196,Octopus Publishing Group,2012-05-01,8.03,0.97,3.76,207,41,6,19,36,105,27679,9781849531986,English,"Society, Social, Sciences"
