title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
A Memoir of the Rev. John Russell and His Out-Of-Door Life (Vintage Dog Books Breed Classic - Jack Russell Terrier),E.W.L. Davies,420,Read Books,2005-11-01,34.39,3.41,5,1,0,0,0,0,1,1596846,9781846640452,English,Sport
"Essential Skills for your Growly but Brilliant Family Dog : Books 1-3: Understanding your fearful, reactive, or aggressive dog, and strategies and techniques to make change",Beverley Courtney,336,Beverley Courtney,2018-07-30,27.63,0.57,4.4,5,0,0,0,3,2,24707,9781916437685,English,Sport
Secret Techniques Of Wing Chun Kung Fu Vol.3 : Third Level - Bil Jee,"K.T. Chao, J.E. Weakland",136,Paul H. Crompton Ltd,2011-03-01,15.46,2.54,4,2,0,0,0,2,0,827941,9780901764621,English,Sport
Pilates on the Ball : A Comprehensive Book and DVD Workout,Colleen Craig,192,Inner Traditions Bear and Company,2003-09-10,25.88,0.12,3.72,29,0,3,9,10,7,364101,9780892810956,English,Sport
Greyhound Racing And Breeding (A Vintage Dog Books Breed Classic),A. Croxton-Smith,108,Read Books,2005-12-30,15.01,7.79,4,1,0,0,0,1,0,1769053,9781846640568,English,Sport
Hillwalking in Wales - Vol 1,Peter Hermon,288,Cicerone Press,2010-06-11,15.68,0.32,5,1,0,0,0,0,1,988712,9781852844677,English,Sport
A Memoir of the Rev. John Russell and His Out-Of-Door Life (Vintage Dog Books Breed Classic - Jack Russell Terrier),E.W.L. Davies,420,Read Books,2005-10-30,37.27,6.63,5,1,0,0,0,0,1,1603154,9781846640445,English,Sport
Walking the Munros Vol 2 - Northern Highlands and the Cairngorms,Steve Kew,320,Cicerone Press,2021-08-10,21.51,4.49,4,1,0,0,0,1,0,902120,9781852849313,English,Sport
The Course Companion for BHS Stage One,Maxine Cave,144,The Crowood Press Ltd,2002-03-01,14.96,0.04,4.4,5,0,0,0,3,2,649796,9780851317656,English,Sport
The Book of Nature : Wordsworth's Poetry on Nature,William Wordsworth,74,READ BOOKS,2020-02-20,9.24,1.76,3.9,21,0,2,4,9,6,1458838,9781528716345,English,Sport
The Little Book of Irish Boxing,Barry Flynn,144,The History Press Ltd,2015-12-01,15.18,2.82,3,1,0,0,1,0,0,1284824,9781845888763,English,Sport
Actitud Ante El Riesgo de la Fe En Jesus,"Luis Davila, 100 Jesus Books",122,Independently Published,2018-11-19,16.98,1.55,4,2,0,0,1,0,1,9781731582034,9781731582034,Spanish,Sport
Pencak Silat Pertempuran : Vol. 2,"Sean, Stark",496,Sean Stark,2007-01-30,39.77,1.93,4,2,0,0,1,0,1,1173584,9780615137841,English,Sport
Book 6 : Learn @ Home Coaching Rugby League Project: Academy of Excellence for Coaching Rugby League Personal Skills and Fitness Drills,Bert Holcroft,142,Trafford Publishing,2019-05-17,29.24,1.71,5,1,0,0,0,0,1,9781490786100,9781490786100,English,Sport
Deportes para la gloria de Jesus,"Luis Davila, 100 Jesus Books",80,Independently Published,2019-09-11,16.31,2.22,5,1,0,0,0,0,1,9781692396367,9781692396367,Spanish,Sport
