title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
Disney Dreams Collection Thomas Kinkade Studios Disney Princess Coloring Book,Thomas Kinkade,96,Andrews McMeel Publishing,2021-05-13,11.14,2.86,4.75,12,0,0,1,1,10,42190,9781524865559,English,Stationery
The Walking Dead : The Pop-Up Book,"Stephani Danelle Perry, Becca Zerkin, David Hawcock, Sally Elizabeth Jackson",5,Insight Editions,2015-11-30,53.25,15.75,4.56,96,2,1,8,15,70,35849,9781608874446,English,Stationery
The Book of Qualities,Ruth J Gendler,112,HarperCollins Publishers Inc,1988-01-27,11.59,3.91,4.46,986,5,20,109,230,622,103387,9780060962524,English,Stationery
Botanicals Notebook Collection,Rifle Paper Co.,64,Chronicle Books,2011-09-01,13.18,0.82,4.67,12,0,0,1,2,9,28210,9781452101859,English,Stationery
Art of Pixar Animation Studios Postcards,Disney - Pixar,100,CHRONICLE BOOKS,2005-11-10,18.99,4.51,4.36,42,1,1,5,10,25,53730,9780811849555,English,Stationery
Llamanoes : Dominoes . . . with Llamas!,"Chronicle Books, Shyama Golden",28,CHRONICLE BOOKS,2018-03-21,14.59,0.91,3,1,0,0,1,0,0,873852,9781452163710,English,Stationery
Creative Haven Fabulous Fashions of the 1960s Coloring Book,Ming-Ju Sun,64,Dover Publications Inc.,2018-07-27,7.90,0.10,3,1,0,0,1,0,0,411490,9780486821696,English,Stationery
British Airways Colouring Book,Paul Jarvis,96,Amberley Publishing,2017-04-01,14.38,1.62,4.25,4,0,0,1,1,2,859483,9781445666129,English,Stationery
Color Friendship Coloring Book,Suzy Toronto,64,Design Originals,2016-05-03,5.94,0.06,4,1,0,0,0,1,0,708514,9781497201590,English,Stationery
Spark Wellness : 50 Ways to Feel Your Healthiest,Chronicle Books,50,CHRONICLE BOOKS,2021-09-02,11.87,1.63,2,1,0,1,0,0,0,2701315,9781797209371,English,Stationery
Design for Operational Excellence: A Breakthrough Strategy for Business Growth,Kevin Duggan,320,McGraw-Hill Education - Europe,2011-09-27,28.75,6.25,3.47,53,1,6,19,21,6,487441,9780071768245,English,Stationery
Pocket Book of Compassion 2019 : Your Daily Dose of Quotes to Inspire Compassion,Trigger Publishing,160,Welbeck Publishing Group,2020-03-05,7.28,3.72,4,2,0,0,1,0,1,1475175,9781789561401,English,Stationery
Performance Management 2/E,Robert Bacal,256,McGraw-Hill Education - Europe,2012-01-16,23.22,1.28,3.78,9,1,1,1,2,4,958042,9780071772259,English,Stationery
Avocado Stickers,Ellen Scott,8,Dover Publications Inc.,2018-05-25,3.41,1.59,4,5,0,1,1,0,3,795648,9780486825069,English,Stationery
The Phoenix Encounter Method: Lead Like Your Business Is on Fire!,"Ian Woodward, V. ""Paddy"" Padmanabhan, Sameer Hasija, Ram Charan",352,McGraw-Hill Education,2020-12-16,25.24,3.26,4.07,15,0,2,2,4,7,628559,9781264257638,English,Stationery
Charley Harper's What's in the Rain Forest?,"Zoe Burke, Charley Harper",34,"Pomegranate Communications Inc,US",2013-08-01,12.28,2.72,4,13,0,0,4,5,4,993401,9780764965845,English,Stationery
Pendleton Playing Cards,Pendleton Woolen Mills,54,CHRONICLE BOOKS,2019-09-25,18.30,5.20,4,1,0,0,0,1,0,938540,9781452172569,English,Stationery
"The First Book of Moses, Called Genesis",Steven Rose,144,Canongate Books,2011-03-24,5.77,2.53,4.33,1964,69,92,234,293,1276,1247585,9780862417895,English,Stationery
William Shakespeare: Famous Loving Words,Darcy Reed,192,Insight Editions,2020-03-17,7.98,1.52,4.38,8,0,0,1,3,4,687728,9781683838647,English,Stationery
Grayscale Minis - Pocket Sized Fantasy Art Coloring Book,Selina Fenech,106,Fairies and Fantasy Pty Ltd,2019-02-26,11.28,0.42,5,1,0,0,0,0,1,1054158,9780648215653,English,Stationery
The Art of Marjorie Sarnat : Elegant Elephants Adult Coloring Book,Marjorie Sarnat,74,JR Imagination,2016-07-09,17.57,4.83,4.67,15,0,0,1,3,11,66569,9780989318983,English,Stationery
KC Doodle Art Fantasy Garden Coloring Book,Krisa Bousquet,80,Design Originals,2016-11-08,9.97,1.03,5,1,0,0,0,0,1,1021510,9781497202122,English,Stationery
Gray Malin: 50 Postcards (Postcard Book) : Make Every Day a Getaway,Gray Malin,100,Abrams,2020-09-01,16.67,0.83,3,2,1,0,0,0,1,1018201,9781419743870,English,Stationery
The Little Book of Colouring for Calm : 100 Mandalas for Relaxation in Minutes,Madonna Gauding,208,Octopus Publishing Group,2015-09-01,8.87,2.13,4.5,4,0,0,0,2,2,1287294,9781781573143,English,Stationery
"Whatever You Are, Be a Good One Notes : 20 Different Notecards & Envelopes",Lisa Congdon,20,Chronicle Books,2015-08-18,15.58,1.92,5,1,0,0,0,0,1,760186,9781452144122,English,Stationery
Star Wars: Women of the Galaxy Notebook Collection,LucasFilm Ltd.,64,CHRONICLE BOOKS,2018-11-06,12.04,2.96,5,1,0,0,0,0,1,768693,9781452173733,English,Stationery
"It's Me, The Good Advice Cupcake! : Talking Figurine and Illustrated Book",Loryn Brantz,48,"Running Press,U.S.",2019-10-15,9.47,4.03,4.33,3,0,0,1,0,2,561568,9780762468140,English,Stationery
My Reading Adventures : A Book Journal for Kids,Anne Bogel,144,"Harvest House Publishers,U.S.",2022-08-02,16.59,1.41,4.86,28,1,0,0,0,27,483271,9780736983099,English,Stationery
Grayscale Minis - Pocket Sized Fantasy Art Coloring Book,Selina Fenech,106,Fairies and Fantasy Pty Ltd,2019-02-26,11.28,0.42,5,1,0,0,0,0,1,1054158,9780648215653,English,Stationery
Pocket Posh Adult Coloring Book: Soothing Designs for Fun & Relaxation : Volume 5,Andrews Mcmeel Publishing,120,Andrews McMeel Publishing,2016-10-04,9.43,0.57,5,1,0,0,0,0,1,1017092,9781449480530,English,Stationery
