title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
"Words that Sell, Revised and Expanded Edition",Richard Bayan,160,McGraw-Hill Education - Europe,2006-05-30,15.43,2.07,4.02,794,20,44,151,262,317,8344,9780071467858,English,"Teaching, Resources, Education"
Some of My Best Friends are Books : Guiding Gifted Readers (3rd Edition),Judith Wynn Halsted,596,Great Potential Press Inc,2009-09-01,27.61,2.89,3.92,254,3,17,52,107,75,121926,9780910707961,English,"Teaching, Resources, Education"
"Story of the World, Vol. 2 Audiobook : History for the Classical Child: The Middle Ages","Jim Weiss, Susan Wise Bauer",9,Peace Hill Press,2007-09-25,38.93,12.77,4.33,2514,23,41,290,882,1278,91335,9781933339122,English,"Teaching, Resources, Education"
My Mouth Is a Volcano Activity and Idea Book,"Julia Cook, Carrie Hartman",24,National Center for Youth Issues,2009-12-01,9.79,2.21,4.45,62,0,3,7,11,41,9010,9781931636919,English,"Teaching, Resources, Education"
My First Bilingual Book-Feelings (English-Chinese),Milet Publishing,16,Milet Publishing Ltd,2016-01-28,8.40,1.60,4,16,0,0,6,4,6,167024,9781785080715,English,"Teaching, Resources, Education"
Music for Children Vol. 2 : Major: Drone Bass-Triads,"Carl Orff, Margaret Murray, Gunild Keetman",116,Schott Musik International GmbH & Co KG,2012-09-28,23.85,3.15,4.78,9,0,0,1,0,8,226373,9783795795054,English,"Teaching, Resources, Education"
"Classroom-ready Number Talks For Third, Fourth And Fifth Grade Teachers : 1000 Interactive Math Activities that Promote Conceptual Und",Nancy Hughes,304,Ulysses Press,2018-03-29,17.18,0.81,4.18,11,1,0,0,5,5,157972,9781612437279,English,"Teaching, Resources, Education"
End of Molasses Classes,Ron Clark,352,SIMON & SCHUSTER,2012-04-17,19.51,0.49,4.18,1535,20,53,251,513,698,199934,9781451639742,English,"Teaching, Resources, Education"
Anti-Education,"Friederich Nietzsche, Damion Searls, Paul Reitter, Chad Wellmon",136,"The New York Review of Books, Inc",2015-12-15,10.85,1.65,3.79,543,9,47,139,204,144,154672,9781590178942,English,"Teaching, Resources, Education"
"All Teachers Bright and Beautiful (Book 3) : A light-hearted memoir of a husband, father and teacher in Yorkshire Dales",Andy Seed,416,Headline Publishing Group,2014-06-05,13.09,0.91,4.29,109,3,3,13,30,60,454494,9780755362226,English,"Teaching, Resources, Education"
