title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
Singer Sewing Book,Mary Picken,264,Read Books,2010-07-27,38.36,7.74,4.33,24,0,1,1,11,11,1120357,9781445514673,English,"Technology, Engineering"
"Capturing Sunlight, Book 1 : Skills & Ideas for Intensive Grazing, Sustainable Pastures, Healthy Soils, & Grassfed Livestock",Woody Lane,334,Lane Livestock Services,2020-01-20,25.22,4.88,4.57,7,0,0,1,1,5,1011296,9780983323822,English,"Technology, Engineering"
Newnes Radio and RF Engineering Pocket Book,"Steve Winder, Joseph Carr",344,Elsevier Science & Technology,2002-09-24,36.96,1.99,4,1,0,0,0,1,0,998756,9780750656085,English,"Technology, Engineering"
Green Up! : An A-Z of Environmentally Friendly Home Improvements,Will Anderson,144,Green Books,2007-10-04,8.81,2.84,3.6,5,0,1,1,2,1,740016,9781903998946,English,"Technology, Engineering"
Protection of Electronic Circuits,R Standler,464,Dover Publications Inc.,2003-03-28,31.15,1.35,4.29,7,0,0,1,3,3,760530,9780486425528,English,"Technology, Engineering"
"Food Microbiology - An Introduction, Fourth Edition",TJ Montville,624,American Society for Microbiology,2017-04-12,97.54,7.46,4,7,0,1,1,2,3,1363606,9781555819385,English,"Technology, Engineering"
"iPad Project Book, The","Michael Cohen, Dennis Cohen, Lisa Spangenberg",240,Pearson Education (US),2010-11-01,21.32,1.10,3.12,17,2,3,6,3,3,1810262,9780321714756,English,"Technology, Engineering"
Mechanical Vibration Practice and Noise Control,V. Ramamurti,430,Alpha Science International Ltd,2012-11-30,47.79,1.71,4.33,3,0,0,1,0,2,1961896,9781842657522,English,"Technology, Engineering"
Venetian Ships and Shipbuilders of the Renaissance,Frederic Chapin Lane,296,Johns Hopkins University Press,1992-10-27,30.20,13.60,4.11,9,0,1,2,1,5,1255906,9780801845147,English,"Technology, Engineering"
Alternative Energy Systems and Applications 2e,BK Hodge,460,John Wiley and Sons Ltd,2017-05-08,71.42,7.58,3.31,13,2,1,2,7,1,1899568,9781119109211,English,"Technology, Engineering"
Hop Production: Volume 16,V. Rybacek,258,Elsevier Science & Technology,1991-03-01,51.91,3.04,4,1,0,0,0,1,0,1664044,9780444987709,English,"Technology, Engineering"
"Water-Centric Sustainable Communities - Planning, Retrofitting and Constructing the Next Urban Environments",V Novotny,624,John Wiley & Sons Inc,2010-10-27,122.30,2.10,3,3,0,1,1,1,0,1668453,9780470476086,English,"Technology, Engineering"
The Book On Pekingese (A Vintage Dog Books Breed Classic),Dorothy Slater,128,Read Books,2007-04-03,21.75,10.45,4,1,0,0,0,1,0,9781406795622,9781406795622,English,"Technology, Engineering"
The Man Who Talks with the Flowers : The Intimate Life Story of Dr. George Washington Carver,Glenn Clark,40,Wilder Publications,2011-09-01,10.73,1.07,4.58,156,1,2,9,38,106,1203904,9781617204180,English,"Technology, Engineering"
Vogue's Book of Smart Dressmaking,Anon,66,Read Books,2011-04-15,21.67,10.53,4,1,0,0,0,1,0,2167008,9781447401117,English,"Technology, Engineering"
Foundations of Electrodynamics,Parry Moon,320,Dover Publications Inc.,2013-08-30,20.17,0.83,3.5,2,0,0,1,1,0,1666442,9780486497037,English,"Technology, Engineering"
The Last Beekeeper : Vespling Book 1,Jared Gulian,448,WaysOut Press,2021-09-30,23.59,0.31,4.09,162,2,12,30,44,74,1102042,9780473570927,English,"Technology, Engineering"
Regulating Safety of Traditional and Ethnic Foods,"V. Prakash, Olga Martin-Belloso, Larry Keener, Sian Bethan Astley, Susanne Braun, Helena McMahon, Huub Lelieveld",536,Elsevier Science Publishing Co Inc,2015-12-11,102.01,4.39,4,4,0,1,0,1,2,9780128006054,9780128006054,English,"Technology, Engineering"
"Image, Video & 3D Data Registration - Medical, Satllite & Video Processing Applications with Quality Metrics",V Argyriou,256,John Wiley & Sons Inc,2015-08-21,80.62,7.58,5,1,0,0,0,0,1,9781118702468,9781118702468,English,"Technology, Engineering"
"Electricity from Sunlight - Photovoltaic-Systems Integration and Sustainability, Second Edition",V Fthenakis,360,John Wiley & Sons Inc,2018-04-09,80.74,0.96,5,1,0,0,0,0,1,9781118963807,9781118963807,English,"Technology, Engineering"
Handbook of Nonwovens,S. J. Russell,544,Elsevier Science & Technology,2006-12-22,200.60,44.40,3.5,2,0,1,0,0,1,1761873,9781855736030,English,"Technology, Engineering"
War and the Transformation of Global Politics,V. Jabri,230,Palgrave Macmillan,2007-03-20,91.38,29.12,2.8,5,0,2,2,1,0,9780230006577,9780230006577,English,"Technology, Engineering"
Pular Art Deco Lighting: Shades of the Past,Herb Millman,176,Schiffer Publishing Ltd,2007-07-01,53.86,0.14,3.5,4,0,0,2,2,0,1862224,9780764320439,English,"Technology, Engineering"
Theory of Superconductivity,J. Robert Schrieffer,352,Taylor & Francis Inc,1971-01-22,69.52,1.48,4.5,2,0,0,0,1,1,1668480,9780738201207,English,"Technology, Engineering"
