title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
Building Simple Model Steam Engines: Book 2,Tubal Cain,112,Special Interest Model Books,1998-12-31,9.61,0.39,4.05,19,0,0,5,8,6,74108,9781854861474,English,Transport
Reeds Vol 12 Motor Engineering Knowledge for Marine Engineers,"Paul Anthony Russell, Thomas D. Morton, Mr Leslie Jackson, Anthony S Prince",384,Bloomsbury Publishing PLC,2018-11-06,56.37,16.81,3,1,0,0,1,0,0,905051,9781472953445,English,Transport
"Trucks, Trains and Big Machines! Transportation Books for Kids Children's Transportation Books",Baby Professor,64,Baby Professor,2017-09-15,14.03,6.17,3.4,5,1,0,1,2,1,40680,9781541915671,English,Transport
"A List of Books : With References to Periodicals, Relating to Railroads in Their Relation to the Government and the Public","Appleton Prentiss Clark Griffin, Library of Congress Division of Bibliog",144,Sagwan Press,2018-02-02,16.88,0.62,5,2,0,0,0,0,2,9781376529586,9781376529586,English,Transport
BOOK OF THE AJS SINGLES 1955-65 350cc & 500cc,"Floyd Clymer, Velocepress",138,TheValueGuide,2012-02-09,27.00,1.00,2,1,0,1,0,0,0,2208758,9781588501677,English,Transport
"A List of Books : With References to Periodicals, Relating to Railroads in Their Relation to the Government and the Public",Appleton Prentiss Clark Griffin,144,Nabu Press,2010-02-26,20.22,1.77,5,2,0,0,0,0,2,9781145915541,9781145915541,English,Transport
"Aerial Life - Spaces, Mobilities, Affects",P Adey,296,John Wiley and Sons Ltd,2010-06-01,30.03,19.17,3.25,4,0,0,3,1,0,789964,9781405182614,English,Transport
Driving Spaces - A Cultural-Historical Geography of England's M1 Motorway,P Merriman,320,John Wiley and Sons Ltd,2007-12-04,31.10,21.20,4,1,0,0,0,1,0,1711622,9781405130721,English,Transport
Saturn IB / Saturn V Rocket Payload Planner's Guide,"Douglas Aircraft, Nasa",142,Periscope Film LLC,2012-06-05,28.79,1.41,4.33,3,0,0,1,0,2,9781940453484,9781940453484,English,Transport
The Wheels The Friendship Race (Croatian English Bilingual Children's Book),"Inna Nusinsky, Kidkiddos Books",32,KidKiddos Books Ltd.,2021-03-19,13.70,10.80,4.03,64,5,4,9,12,34,9781525951633,9781525951633,,Transport
The Wheels The Friendship Race (Vietnamese edition) : Vietnamese Children's Book,"Inna Nusinsky, Kidkiddos Books",32,KidKiddos Books Ltd.,2020-01-18,16.20,8.10,4.05,65,5,4,9,12,35,9781525921346,9781525921346,Vietnamese,Transport
The Wheels The Friendship Race (Croatian English Bilingual Children's Book),"Inna Nusinsky, Kidkiddos Books",32,KidKiddos Books Ltd.,2021-03-19,27.89,8.31,4.05,65,5,4,9,12,35,9781525951640,9781525951640,,Transport
The Wheels The Friendship Race (English Croatian Bilingual Children's Book),"Inna Nusinsky, Kidkiddos Books",32,KidKiddos Books Ltd.,2021-03-09,27.89,8.31,4.05,65,5,4,9,12,35,9781525951589,9781525951589,,Transport
The Wheels The Friendship Race (English Croatian Bilingual Children's Book),"Inna Nusinsky, Kidkiddos Books",32,KidKiddos Books Ltd.,2021-03-09,17.30,8.00,4.05,65,5,4,9,12,35,9781525951572,9781525951572,,Transport
The Wheels The Friendship Race (English Albanian Bilingual Children's Book),"Inna Nusinsky, Kidkiddos Books",32,KidKiddos Books Ltd.,2021-03-28,16.20,8.10,4.05,65,5,4,9,12,35,9781525956652,9781525956652,Albanian,Transport
The Wheels The Friendship Race (English Czech Bilingual Children's Book),"Inna Nusinsky, Kidkiddos Books",32,KidKiddos Books Ltd.,2021-03-06,27.89,8.31,4.05,65,5,4,9,12,35,9781525951169,9781525951169,Czech,Transport
The Wheels The Friendship Race (English Czech Bilingual Children's Book),"Inna Nusinsky, Kidkiddos Books",32,KidKiddos Books Ltd.,2021-03-06,16.20,8.10,4.05,65,5,4,9,12,35,9781525951152,9781525951152,Czech,Transport
The Wheels The Friendship Race (Hungarian English Bilingual Book for Kids),"Inna Nusinsky, Kidkiddos Books",32,KidKiddos Books Ltd.,2021-02-20,27.89,8.41,4.05,65,5,4,9,12,35,9781525950278,9781525950278,Hungarian,Transport
Race Cars (a True Book: Behind the Scenes),Cody Crane,48,C. Press/F. Watts Trade,2017-09-01,27.58,4.92,3,1,0,0,1,0,0,9780531235027,9780531235027,English,Transport
Gasoline Treasures,Michael Bruner,160,Schiffer Publishing Ltd,1997-03-01,29.49,3.01,5,1,0,0,0,0,1,2444033,9780764300509,English,Transport
The Wheels The Friendship Race (Vietnamese Book for Kids) : Vietnamese Children's Book,"Inna Nusinsky, Kidkiddos Books",32,KidKiddos Books Ltd.,2018-03-08,27.89,8.41,4.05,65,5,4,9,12,35,9781525907364,9781525907364,Vietnamese,Transport
