title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
Greek Phrase Book,DK,128,Dorling Kindersley Ltd,2003-04-03,5.82,0.68,4.1,10,0,1,2,2,5,220789,9780751320510,English,"Travel, Holiday, Guides"
A Time to Keep Silence,"Patrick Leigh Fermor, Karen Armstrong",128,"The New York Review of Books, Inc",2007-10-30,13.06,2.44,3.89,1510,13,75,389,628,405,96500,9781590172445,English,"Travel, Holiday, Guides"
The Book of Marvels and Travels,"John Mandeville, Anthony Bale",224,Oxford University Press,2012-09-13,8.66,2.84,3.35,1331,75,194,461,388,213,199287,9780199600601,English,"Travel, Holiday, Guides"
The Little Book of Glasgow,Geoff Holder,192,The History Press Ltd,2011-12-01,14.36,5.64,4.2,10,0,0,1,6,3,1332577,9780752460048,English,"Travel, Holiday, Guides"
"Birds of Aruba, Bonaire, and Curacao : A Site and Field Guide","Jeffrey V. Wells, Allison Childs Wells, Robert Dean",488,Cornell University Press,2017-06-15,41.19,3.81,3.5,2,0,0,1,1,0,1575162,9781501701078,English,"Travel, Holiday, Guides"
Attention All Shipping : A Journey Round the Shipping Forecast,Charlie Connelly,384,"Little, Brown Book Group",2005-05-05,9.12,3.38,3.85,1222,19,82,295,495,331,59480,9780349116037,English,"Travel, Holiday, Guides"
Lonely Planet Lonely Planet's Ultimate Travel Quiz Book,Lonely Planet,160,Lonely Planet Global Limited,2019-07-22,9.03,1.97,4.27,15,0,0,3,5,7,7553,9781788681230,English,"Travel, Holiday, Guides"
Atchison's Walks: The Complete Hills of Britain: Southern England - 150 Circular Walks v. 1,David Atchison-Jones,288,Jingo Wobbly Publishing,2008-06-01,18.41,3.56,4,1,0,0,0,1,0,1763669,9781873665039,English,"Travel, Holiday, Guides"
A Book Of The Cevennes,Sabine Baring-Gould,238,Lector House,2022-01-17,16.91,0.19,3,1,0,0,1,0,0,9789393794222,9789393794222,English,"Travel, Holiday, Guides"
The Camper Book : A Celebration of a Moveable American Dream,"Dave Hoekstra, Jeff Daniels, Jon Sall",240,Chicago Review Press,2018-06-01,28.26,0.74,3.88,8,0,0,3,3,2,9781613738207,9781613738207,English,"Travel, Holiday, Guides"
A Book Of Cornwall,S. Baring-Gould,412,Read Books,2008-12-31,29.42,3.88,3.32,22,1,5,7,4,5,9781443786584,9781443786584,English,"Travel, Holiday, Guides"
The Book of Eating : Adventures in Professional Gluttony,Adam Platt,272,ECCO Press,2020-11-03,17.78,1.22,3.38,348,14,42,137,109,46,9780062293558,9780062293558,English,"Travel, Holiday, Guides"
The Book of Wonders,"Julien Sandrel, Ros Schwartz",224,Quercus Publishing,2019-05-30,16.38,2.72,3.9,3608,60,246,819,1362,1121,9781787473751,9781787473751,English,"Travel, Holiday, Guides"
"The Book of the Bivvy : Tips, stories and route ideas",Ronald Turnbull,176,Cicerone Press,2021-09-10,11.18,1.32,5,2,0,0,0,0,2,9781786310781,9781786310781,English,"Travel, Holiday, Guides"
The Book Of Coniston,William Gershom Collingwood,70,Lector House,2021-09-04,9.74,1.46,4,1,0,0,0,1,0,9789354205668,9789354205668,English,"Travel, Holiday, Guides"
